actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,shotResult,pointsTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,shotDistance,turnoverTotal,stealPlayerName,stealPersonId,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId
426,PT04M23.00S,2024-11-05T02:07:19.0Z,3,REGULAR,rebound,defensive,[],1631223,,,1610612737,64,92,2024-11-05T02:07:21Z,4190000,False,,,0,,D. Roddy REBOUND (Off:0 Def:3),[1631223],1610612737.0,ATL,,,,Roddy,D. Roddy,,,,,Above the Break 3,24+ Left Center,,,,,,,,425.0,3.0,3.0,0.0,,,,,,,,,
427,PT04M17.00S,2024-11-05T02:07:25.2Z,3,REGULAR,turnover,lost ball,[],1629027,,,1610612737,64,92,2024-11-05T02:07:31Z,4200000,False,,,0,,T. Young lost ball TURNOVER (3 TO),"[1629027, 1630202]",1610612737.0,ATL,,,,Young,T. Young,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,3.0,Pritchard,1630202.0,,,,,
428,PT04M17.00S,2024-11-05T02:07:25.2Z,3,REGULAR,steal,,[],1630202,,,1610612738,64,92,2024-11-05T02:07:27Z,4210000,False,,,0,,P. Pritchard STEAL (1 STL),[1630202],1610612738.0,BOS,,,,Pritchard,P. Pritchard,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
429,PT04M13.00S,2024-11-05T02:07:29.3Z,3,REGULAR,2pt,DUNK,"['pointsinthepaint', 'fromturnover', 'fastbreak']",1628369,93.38042049934296,50.73529411764706,1610612738,64,94,2024-11-05T02:07:35Z,4220000,False,4.0,10.0,1,right,J. Tatum running DUNK (28 PTS) (A. Horford 3 AST),"[1628369, 201143]",1610612738.0,BOS,running,,,Tatum,J. Tatum,,,,,Restricted Area,0-8 Center,,,,,,Made,28.0,,,,,1.04,,,,A. Horford,201143.0,3.0,,
431,PT04M05.00S,2024-11-05T02:07:36.5Z,3,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630700,7.5722733245729295,50.245098039215684,1610612737,64,94,2024-11-05T02:07:43Z,4240000,False,-1.0,19.0,1,left,MISS D. Daniels driving floating Shot,[1630700],1610612737.0,ATL,driving floating,,,Daniels,D. Daniels,,,,,Restricted Area,0-8 Center,,,,,,Missed,,,,,,1.87,,,,,,,,
432,PT04M01.00S,2024-11-05T02:07:40.5Z,3,REGULAR,rebound,offensive,[],1630168,,,1610612737,64,94,2024-11-05T02:07:43Z,4250000,False,,,0,,O. Okongwu REBOUND (Off:4 Def:2),[1630168],1610612737.0,ATL,,,,Okongwu,O. Okongwu,,,,,Restricted Area,0-8 Center,,,,,,,,431.0,6.0,2.0,4.0,,,,,,,,,
433,PT04M01.00S,2024-11-05T02:07:40.4Z,3,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1630168,5.590000152587891,50.0,1610612737,66,94,2024-11-05T02:07:40Z,4260000,False,0.0,0.0,1,left,O. Okongwu tip Layup (14 PTS),[1630168],1610612737.0,ATL,tip,,,Okongwu,O. Okongwu,,,,,Mid-Range,8-16 Left,,,,,,Made,14.0,,,,,0.0,,,,,,,,
434,PT03M38.00S,2024-11-05T02:08:03.9Z,3,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630573,87.46714848883047,35.049019607843135,1610612738,66,94,2024-11-05T02:08:09Z,4270000,False,-75.0,65.0,1,right,MISS S. Hauser 9' pullup Shot,[1630573],1610612738.0,BOS,pullup,,,Hauser,S. Hauser,,,,,In The Paint (Non-RA),8-16 Left,,,,,,Missed,,,,,,9.93,,,,,,,,
435,PT03M36.00S,2024-11-05T02:08:05.9Z,3,REGULAR,rebound,offensive,[],201143,,,1610612738,66,94,2024-11-05T02:08:09Z,4280000,False,,,0,,A. Horford REBOUND (Off:1 Def:4),[201143],1610612738.0,BOS,,,,Horford,A. Horford,,,,,In The Paint (Non-RA),8-16 Left,,,,,,,,434.0,5.0,4.0,1.0,,,,,,,,,
436,PT03M28.00S,2024-11-05T02:08:14.1Z,3,REGULAR,3pt,Jump Shot,['2ndchance'],1628369,73.80091984231275,82.35294117647058,1610612738,66,94,2024-11-05T02:08:20Z,4290000,False,162.0,194.0,1,right,MISS J. Tatum 25' step back 3PT,[1628369],1610612738.0,BOS,step back,,,Tatum,J. Tatum,,,,,Above the Break 3,24+ Right Center,,,,,,Missed,,,,,,25.25,,,,,,,,
437,PT03M25.00S,2024-11-05T02:08:17.1Z,3,REGULAR,rebound,defensive,[],1630168,,,1610612737,66,94,2024-11-05T02:08:20Z,4300000,False,,,0,,O. Okongwu REBOUND (Off:4 Def:3),[1630168],1610612737.0,ATL,,,,Okongwu,O. Okongwu,,,,,Above the Break 3,24+ Right Center,,,,,,,,436.0,7.0,3.0,4.0,,,,,,,,,
438,PT03M07.00S,2024-11-05T02:08:37.4Z,3,REGULAR,2pt,Jump Shot,[],1629726,11.251642575558476,27.205882352941174,1610612737,68,94,2024-11-05T02:08:41Z,4310000,False,114.0,53.0,1,left,G. Mathews 12' driving floating bank Jump Shot (7 PTS) (D. Roddy 1 AST),"[1629726, 1631223]",1610612737.0,ATL,driving floating bank,,,Mathews,G. Mathews,,,,,Mid-Range,8-16 Right,,,,,,Made,7.0,,,,,12.58,,,,D. Roddy,1631223.0,1.0,,
440,PT03M07.00S,2024-11-05T02:08:43.4Z,3,REGULAR,foul,personal,['1freethrow'],1630202,,,1610612737,68,94,2024-11-05T02:09:17Z,4330000,False,,,0,,P. Pritchard shooting personal FOUL (1 PF) (Mathews 1 FT),"[1630202, 1629726]",1610612738.0,BOS,shooting,,,Pritchard,P. Pritchard,,,,,Mid-Range,8-16 Right,200833.0,1.0,0.0,Mathews,1629726.0,,,,,,,,,,,,,,,
442,PT03M07.00S,2024-11-05T02:08:50.1Z,3,REGULAR,substitution,out,[],1630700,,,1610612737,68,94,2024-11-05T02:09:04Z,4350000,False,,,0,,SUB out: D. Daniels,[1630700],1610612737.0,ATL,,,,Daniels,D. Daniels,,,,,,,,,,,,,,,,,,,,,,,,,,
443,PT03M07.00S,2024-11-05T02:08:50.1Z,3,REGULAR,substitution,out,[],1629027,,,1610612737,68,94,2024-11-05T02:09:04Z,4360000,False,,,0,,SUB out: T. Young,[1629027],1610612737.0,ATL,,,,Young,T. Young,,,,,,,,,,,,,,,,,,,,,,,,,,
444,PT03M07.00S,2024-11-05T02:08:50.1Z,3,REGULAR,substitution,out,[],201143,,,1610612737,68,94,2024-11-05T02:09:04Z,4370000,False,,,0,,SUB out: A. Horford,[201143],1610612738.0,BOS,,,,Horford,A. Horford,,,,,,,,,,,,,,,,,,,,,,,,,,
445,PT03M07.00S,2024-11-05T02:08:50.1Z,3,REGULAR,substitution,out,[],1629674,,,1610612737,68,94,2024-11-05T02:09:04Z,4380000,False,,,0,,SUB out: N. Queta,[1629674],1610612738.0,BOS,,,,Queta,N. Queta,,,,,,,,,,,,,,,,,,,,,,,,,,
446,PT03M07.00S,2024-11-05T02:08:50.1Z,3,REGULAR,substitution,in,[],1630811,,,1610612737,68,94,2024-11-05T02:09:04Z,4390000,False,,,0,,SUB in: K. Wallace,[1630811],1610612737.0,ATL,,,,Wallace,K. Wallace,,,,,,,,,,,,,,,,,,,,,,,,,,
447,PT03M07.00S,2024-11-05T02:08:50.1Z,3,REGULAR,substitution,in,[],1630552,,,1610612737,68,94,2024-11-05T02:09:04Z,4400000,False,,,0,,SUB in: J. Johnson,[1630552],1610612737.0,ATL,,,,Johnson,J. Johnson,,,,,,,,,,,,,,,,,,,,,,,,,,
448,PT03M07.00S,2024-11-05T02:08:50.1Z,3,REGULAR,substitution,in,[],1641775,,,1610612737,68,94,2024-11-05T02:09:04Z,4410000,False,,,0,,SUB in: J. Walsh,[1641775],1610612738.0,BOS,,,,Walsh,J. Walsh,,,,,,,,,,,,,,,,,,,,,,,,,,
449,PT03M07.00S,2024-11-05T02:08:50.1Z,3,REGULAR,substitution,in,[],1628436,,,1610612737,68,94,2024-11-05T02:09:04Z,4420000,False,,,0,,SUB in: L. Kornet,[1628436],1610612738.0,BOS,,,,Kornet,L. Kornet,,,,,,,,,,,,,,,,,,,,,,,,,,
450,PT03M07.00S,2024-11-05T02:09:18.2Z,3,REGULAR,freethrow,1 of 1,[],1629726,,,1610612737,68,94,2024-11-05T02:09:20Z,4430000,False,,,0,,MISS G. Mathews Free Throw 1 of 1,[1629726],1610612737.0,ATL,,,,Mathews,G. Mathews,,,,,,,,,,,,Missed,,,,,,,,,,,,,,
451,PT03M05.00S,2024-11-05T02:09:20.2Z,3,REGULAR,rebound,defensive,[],1628436,,,1610612738,68,94,2024-11-05T02:09:20Z,4440000,False,,,0,,L. Kornet REBOUND (Off:0 Def:1),[1628436],1610612738.0,BOS,,,,Kornet,L. Kornet,,,,,,,,,,,,,,450.0,1.0,1.0,0.0,,,,,,,,,
452,PT02M50.00S,2024-11-05T02:09:33.7Z,3,REGULAR,2pt,Layup,['pointsinthepaint'],1630573,92.32917214191852,48.529411764705884,1610612738,68,96,2024-11-05T02:09:38Z,4450000,False,-7.0,20.0,1,right,S. Hauser driving Layup (4 PTS),[1630573],1610612738.0,BOS,driving,,,Hauser,S. Hauser,,,,,Restricted Area,0-8 Center,,,,,,Made,4.0,,,,,2.1,,,,,,,,
453,PT02M38.00S,2024-11-05T02:09:45.5Z,3,REGULAR,2pt,Layup,['pointsinthepaint'],1630552,6.258212877792378,50.245098039215684,1610612737,68,96,2024-11-05T02:09:51Z,4460000,False,-1.0,6.0,1,left,MISS J. Johnson driving reverse Layup,[1630552],1610612737.0,ATL,driving reverse,,,Johnson,J. Johnson,,,,,Restricted Area,0-8 Center,,,,,,Missed,,,,,,0.64,,,,,,,,
454,PT02M34.00S,2024-11-05T02:09:49.5Z,3,REGULAR,rebound,offensive,[],1630168,,,1610612737,68,96,2024-11-05T02:09:51Z,4470000,False,,,0,,O. Okongwu REBOUND (Off:5 Def:3),[1630168],1610612737.0,ATL,,,,Okongwu,O. Okongwu,,,,,Restricted Area,0-8 Center,,,,,,,,453.0,8.0,3.0,5.0,,,,,,,,,
455,PT02M34.00S,2024-11-05T02:09:49.3Z,3,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1630168,5.590000152587891,50.0,1610612737,70,96,2024-11-05T02:09:49Z,4480000,False,0.0,0.0,1,left,O. Okongwu tip Layup (16 PTS),[1630168],1610612737.0,ATL,tip,,,Okongwu,O. Okongwu,,,,,Mid-Range,8-16 Left,,,,,,Made,16.0,,,,,0.0,,,,,,,,
456,PT02M21.00S,2024-11-05T02:10:02.7Z,3,REGULAR,3pt,Jump Shot,[],1630573,67.09921156373193,58.82352941176471,1610612738,70,96,2024-11-05T02:10:08Z,4490000,False,44.0,257.0,1,right,MISS S. Hauser 26' 3PT,[1630573],1610612738.0,BOS,,,,Hauser,S. Hauser,,,,,Above the Break 3,24+ Center,,,,,,Missed,,,,,,26.06,,,,,,,,
457,PT02M18.00S,2024-11-05T02:10:05.7Z,3,REGULAR,rebound,defensive,[],1630552,,,1610612737,70,96,2024-11-05T02:10:08Z,4500000,False,,,0,,J. Johnson REBOUND (Off:2 Def:8),[1630552],1610612737.0,ATL,,,,Johnson,J. Johnson,,,,,Above the Break 3,24+ Center,,,,,,,,456.0,10.0,8.0,2.0,,,,,,,,,
458,PT02M11.00S,2024-11-05T02:10:13.0Z,3,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630168,12.565703022339028,48.529411764705884,1610612737,70,96,2024-11-05T02:10:19Z,4510000,False,7.0,66.0,1,left,MISS O. Okongwu 6' floating Shot,[1630168],1610612737.0,ATL,floating,,,Okongwu,O. Okongwu,,,,,In The Paint (Non-RA),0-8 Center,,,,,,Missed,,,,,,6.6,,,,,,,,
459,PT02M08.00S,2024-11-05T02:10:16.0Z,3,REGULAR,rebound,defensive,[],1628436,,,1610612738,70,96,2024-11-05T02:10:19Z,4520000,False,,,0,,L. Kornet REBOUND (Off:0 Def:2),[1628436],1610612738.0,BOS,,,,Kornet,L. Kornet,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,458.0,2.0,2.0,0.0,,,,,,,,,
460,PT02M02.00S,2024-11-05T02:10:21.8Z,3,REGULAR,2pt,Layup,['pointsinthepaint'],1630202,92.46057818659659,48.28431372549019,1610612738,70,98,2024-11-05T02:10:26Z,4530000,False,-9.0,18.0,1,right,P. Pritchard driving Layup (14 PTS),[1630202],1610612738.0,BOS,driving,,,Pritchard,P. Pritchard,,,,,Restricted Area,0-8 Center,,,,,,Made,14.0,,,,,2.03,,,,,,,,
461,PT01M45.00S,2024-11-05T02:10:38.7Z,3,REGULAR,3pt,Jump Shot,[],1631223,7.835085413929041,3.1862745098039214,1610612737,73,98,2024-11-05T02:10:43Z,4540000,False,234.0,21.0,1,left,D. Roddy 3PT  (7 PTS) (G. Mathews 2 AST),"[1631223, 1629726]",1610612737.0,ATL,,,,Roddy,D. Roddy,,,,,Right Corner 3,24+ Right,,,,,,Made,7.0,,,,,23.5,,,,G. Mathews,1629726.0,2.0,,
463,PT01M31.00S,2024-11-05T02:10:53.2Z,3,REGULAR,2pt,Layup,['pointsinthepaint'],1628436,92.9862023653088,50.98039215686274,1610612738,73,100,2024-11-05T02:11:00Z,4560000,False,5.0,13.0,1,right,L. Kornet reverse Layup (2 PTS) (P. Pritchard 2 AST),"[1628436, 1630202]",1610612738.0,BOS,reverse,,,Kornet,L. Kornet,,,,,Restricted Area,0-8 Center,,,,,,Made,2.0,,,,,1.43,,,,P. Pritchard,1630202.0,2.0,,
465,PT01M03.00S,2024-11-05T02:11:26.2Z,3,REGULAR,2pt,Jump Shot,[],1630552,11.908672798948752,31.61764705882353,1610612737,73,100,2024-11-05T02:12:13Z,4580000,False,92.0,59.0,1,left,MISS J. Johnson 10' turnaround fadeaway Shot,[1630552],1610612737.0,ATL,turnaround fadeaway,,,Johnson,J. Johnson,,,,,Mid-Range,8-16 Right,,,,,,Missed,,,,,,10.94,,,,,,,,
466,PT01M02.00S,2024-11-05T02:11:27.2Z,3,REGULAR,rebound,offensive,['team'],0,,,1610612737,73,100,2024-11-05T02:12:13Z,4590000,False,,,0,,TEAM offensive REBOUND,[],1610612737.0,ATL,,,,,,,,,,Mid-Range,8-16 Right,,,,,,,,465.0,,,,,,,,,,,,
467,PT01M02.00S,2024-11-05T02:11:30.3Z,3,REGULAR,turnover,shot clock,['team'],0,,,1610612737,73,100,2024-11-05T02:11:37Z,4600000,False,,,0,,ATL shot clock Team TURNOVER,[],1610612737.0,ATL,,,,,,,,,,Restricted Area,0-8 Center,200833.0,,,,,,,,,,,,,,,,,,,
468,PT01M02.00S,2024-11-05T02:11:36.1Z,3,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612738,73,100,2024-11-05T02:11:36Z,4610000,False,,,0,,BOS Timeout,[],1610612738.0,BOS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
469,PT00M52.20S,2024-11-05T02:14:37.9Z,3,REGULAR,3pt,Jump Shot,['fromturnover'],1630573,96.40275952693824,2.696078431372549,1610612738,73,103,2024-11-05T02:14:44Z,4620000,False,-237.0,-19.0,1,right,S. Hauser 3PT  (7 PTS) (J. Tatum 9 AST),"[1630573, 1628369]",1610612738.0,BOS,,,,Hauser,S. Hauser,,,,,Left Corner 3,24+ Left,,,,,,Made,7.0,,,,,23.72,,,,J. Tatum,1628369.0,9.0,,
471,PT00M41.80S,2024-11-05T02:14:51.8Z,3,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630552,13.485545335085414,40.44117647058824,1610612737,73,103,2024-11-05T02:14:58Z,4640000,False,48.0,74.0,1,left,MISS J. Johnson 8' turnaround Shot - blocked,"[1630552, 1628436]",1610612737.0,ATL,turnaround,,,Johnson,J. Johnson,,,,,In The Paint (Non-RA),8-16 Right,,,,,,Missed,,,,,,8.83,,,,,,,Kornet,1628436.0
472,PT00M41.80S,2024-11-05T02:14:51.8Z,3,REGULAR,block,,[],1628436,,,1610612737,73,103,2024-11-05T02:14:55Z,4650000,False,,,0,,L. Kornet BLOCK (1 BLK),[1628436],1610612738.0,BOS,,,,Kornet,L. Kornet,,,,,In The Paint (Non-RA),8-16 Right,,,,,,,,,,,,,,,,,,,,
473,PT00M38.00S,2024-11-05T02:14:55.6Z,3,REGULAR,rebound,defensive,[],1641775,,,1610612738,73,103,2024-11-05T02:14:58Z,4660000,False,,,0,,J. Walsh REBOUND (Off:0 Def:2),[1641775],1610612738.0,BOS,,,,Walsh,J. Walsh,,,,,In The Paint (Non-RA),8-16 Right,,,,,,,,471.0,2.0,2.0,0.0,,,,,,,,,
474,PT00M32.60S,2024-11-05T02:15:01.0Z,3,REGULAR,3pt,Jump Shot,['fastbreak'],1628369,66.3107752956636,55.63725490196079,1610612738,73,103,2024-11-05T02:15:07Z,4670000,False,28.0,264.0,1,right,MISS J. Tatum 26' running pullup 3PT,[1628369],1610612738.0,BOS,running pullup,,,Tatum,J. Tatum,,,,,Above the Break 3,24+ Center,,,,,,Missed,,,,,,26.57,,,,,,,,
475,PT00M29.70S,2024-11-05T02:15:03.9Z,3,REGULAR,rebound,defensive,[],1630168,,,1610612737,73,103,2024-11-05T02:15:07Z,4680000,False,,,0,,O. Okongwu REBOUND (Off:5 Def:4),[1630168],1610612737.0,ATL,,,,Okongwu,O. Okongwu,,,,,Above the Break 3,24+ Center,,,,,,,,474.0,9.0,4.0,5.0,,,,,,,,,
476,PT00M18.70S,2024-11-05T02:15:14.9Z,3,REGULAR,2pt,Jump Shot,[],1630552,11.777266754270697,68.87254901960785,1610612737,75,103,2024-11-05T02:15:23Z,4690000,False,-94.0,58.0,1,left,J. Johnson 11' turnaround fadeaway bank Jump Shot (20 PTS),[1630552],1610612737.0,ATL,turnaround fadeaway bank,,,Johnson,J. Johnson,,,,,Mid-Range,8-16 Left,,,,,,Made,20.0,,,,,11.09,,,,,,,,
477,PT00M03.30S,2024-11-05T02:15:33.8Z,3,REGULAR,3pt,Jump Shot,[],1628369,68.01905387647832,33.33333333333333,1610612738,75,103,2024-11-05T02:15:39Z,4700000,False,-83.0,248.0,1,right,MISS J. Tatum 26' pullup 3PT,[1628369],1610612738.0,BOS,pullup,,,Tatum,J. Tatum,,,,,Above the Break 3,24+ Left Center,,,,,,Missed,,,,,,26.17,,,,,,,,
478,PT00M01.30S,2024-11-05T02:15:35.8Z,3,REGULAR,rebound,defensive,[],1630168,,,1610612737,75,103,2024-11-05T02:15:52Z,4710000,False,,,0,,O. Okongwu REBOUND (Off:5 Def:5),[1630168],1610612737.0,ATL,,,,Okongwu,O. Okongwu,,,,,Above the Break 3,24+ Left Center,,,,,,,,477.0,10.0,5.0,5.0,,,,,,,,,
479,PT00M00.00S,2024-11-05T02:15:38.7Z,3,REGULAR,period,end,[],0,,,1610612737,75,103,2024-11-05T02:15:38Z,4720000,False,,,0,,Period End,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
480,PT12M00.00S,2024-11-05T02:17:10.2Z,4,REGULAR,substitution,out,['startperiod'],1631223,,,1610612737,75,103,2024-11-05T02:18:15Z,4730000,False,,,0,,SUB out: D. Roddy,[1631223],1610612737.0,ATL,,,,Roddy,D. Roddy,,,,,,,,,,,,,,,,,,,,,,,,,,
481,PT12M00.00S,2024-11-05T02:17:10.2Z,4,REGULAR,substitution,out,['startperiod'],1628369,,,1610612737,75,103,2024-11-05T02:18:15Z,4740000,False,,,0,,SUB out: J. Tatum,[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,,,,,,,,,,,,,,,,,,,,
482,PT12M00.00S,2024-11-05T02:17:10.2Z,4,REGULAR,substitution,in,['startperiod'],1642258,,,1610612737,75,103,2024-11-05T02:18:15Z,4750000,False,,,0,,SUB in: Z. Risacher,[1642258],1610612737.0,ATL,,,,Risacher,Z. Risacher,,,,,,,,,,,,,,,,,,,,,,,,,,
483,PT12M00.00S,2024-11-05T02:17:10.2Z,4,REGULAR,substitution,in,['startperiod'],1628401,,,1610612737,75,103,2024-11-05T02:18:15Z,4760000,False,,,0,,SUB in: D. White,[1628401],1610612738.0,BOS,,,,White,D. White,,,,,,,,,,,,,,,,,,,,,,,,,,
484,PT12M00.00S,2024-11-05T02:18:15.7Z,4,REGULAR,period,start,[],0,,,1610612737,75,103,2024-11-05T02:18:15Z,4770000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
485,PT11M49.00S,2024-11-05T02:18:28.4Z,4,REGULAR,foul,personal,[],1630573,,,1610612737,75,103,2024-11-05T02:18:35Z,4780000,False,,,0,,S. Hauser personal FOUL (1 PF),"[1630573, 1629726]",1610612738.0,BOS,,,,Hauser,S. Hauser,,,,,Mid-Range,16-24 Right Center,200833.0,1.0,0.0,Mathews,1629726.0,,,,,,,,,,,,,,,
487,PT11M44.00S,2024-11-05T02:18:49.4Z,4,REGULAR,foul,personal,['2freethrow'],1628436,,,1610612737,75,103,2024-11-05T02:19:10Z,4800000,False,,,0,,L. Kornet shooting personal FOUL (3 PF) (Wallace 2 FT),"[1628436, 1630811]",1610612738.0,BOS,shooting,,,Kornet,L. Kornet,,,,,In The Paint (Non-RA),8-16 Center,1204.0,3.0,0.0,Wallace,1630811.0,,,,,,,,,,,,,,,
489,PT11M44.00S,2024-11-05T02:19:17.2Z,4,REGULAR,freethrow,1 of 2,[],1630811,,,1610612737,76,103,2024-11-05T02:19:17Z,4820000,False,,,0,,K. Wallace Free Throw 1 of 2 (3 PTS),[1630811],1610612737.0,ATL,,,,Wallace,K. Wallace,,,,,,,,,,,,Made,3.0,,,,,,,,,,,,,
490,PT11M44.00S,2024-11-05T02:19:22.2Z,4,REGULAR,freethrow,2 of 2,[],1630811,,,1610612737,77,103,2024-11-05T02:19:22Z,4830000,False,,,0,,K. Wallace Free Throw 2 of 2 (4 PTS),[1630811],1610612737.0,ATL,,,,Wallace,K. Wallace,,,,,,,,,,,,Made,4.0,,,,,,,,,,,,,
491,PT11M28.00S,2024-11-05T02:19:40.0Z,4,REGULAR,3pt,Jump Shot,[],1630573,75.24638633377135,85.29411764705883,1610612738,77,103,2024-11-05T02:19:45Z,4840000,False,176.0,180.0,1,right,MISS S. Hauser 25' pullup 3PT,[1630573],1610612738.0,BOS,pullup,,,Hauser,S. Hauser,,,,,Above the Break 3,24+ Right Center,,,,,,Missed,,,,,,25.22,,,,,,,,
492,PT11M26.00S,2024-11-05T02:19:42.0Z,4,REGULAR,rebound,offensive,[],1628436,,,1610612738,77,103,2024-11-05T02:19:45Z,4850000,False,,,0,,L. Kornet REBOUND (Off:1 Def:2),[1628436],1610612738.0,BOS,,,,Kornet,L. Kornet,,,,,Above the Break 3,24+ Right Center,,,,,,,,491.0,3.0,2.0,1.0,,,,,,,,,
493,PT11M19.00S,2024-11-05T02:19:49.3Z,4,REGULAR,turnover,bad pass,[],1628401,,,1610612738,77,103,2024-11-05T02:19:53Z,4860000,False,,,0,,D. White bad pass TURNOVER (3 TO),"[1628401, 1630168]",1610612738.0,BOS,,,,White,D. White,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,3.0,Okongwu,1630168.0,,,,,
494,PT11M19.00S,2024-11-05T02:19:49.3Z,4,REGULAR,steal,,[],1630168,,,1610612737,77,103,2024-11-05T02:19:51Z,4870000,False,,,0,,O. Okongwu STEAL (1 STL),[1630168],1610612737.0,ATL,,,,Okongwu,O. Okongwu,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
495,PT11M11.00S,2024-11-05T02:19:57.5Z,4,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",1630811,7.30946123521682,53.18627450980392,1610612737,77,103,2024-11-05T02:20:03Z,4880000,False,-16.0,16.0,1,left,MISS K. Wallace driving Layup,[1630811],1610612737.0,ATL,driving,,,Wallace,K. Wallace,,,,,Restricted Area,0-8 Center,,,,,,Missed,,,,,,2.27,,,,,,,,
496,PT11M08.00S,2024-11-05T02:20:00.5Z,4,REGULAR,rebound,defensive,[],1628436,,,1610612738,77,103,2024-11-05T02:20:03Z,4890000,False,,,0,,L. Kornet REBOUND (Off:1 Def:3),[1628436],1610612738.0,BOS,,,,Kornet,L. Kornet,,,,,Restricted Area,0-8 Center,,,,,,,,495.0,4.0,3.0,1.0,,,,,,,,,
497,PT11M06.00S,2024-11-05T02:20:04.1Z,4,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",1641775,92.9862023653088,48.77450980392157,1610612738,77,105,2024-11-05T02:20:11Z,4900000,False,-6.0,13.0,1,right,J. Walsh running Layup (2 PTS) (P. Pritchard 3 AST),"[1641775, 1630202]",1610612738.0,BOS,running,,,Walsh,J. Walsh,,,,,Restricted Area,0-8 Center,,,,,,Made,2.0,,,,,1.47,,,,P. Pritchard,1630202.0,3.0,,
499,PT11M06.00S,2024-11-05T02:20:09.2Z,4,REGULAR,foul,personal,['1freethrow'],1629726,,,1610612738,77,105,2024-11-05T02:20:25Z,4920000,False,,,0,,G. Mathews shooting personal FOUL (1 PF) (Walsh 1 FT),"[1629726, 1641775]",1610612737.0,ATL,shooting,,,Mathews,G. Mathews,,,,,Restricted Area,0-8 Center,1204.0,1.0,1.0,Walsh,1641775.0,,,,,,,,,,,,,,,
501,PT11M06.00S,2024-11-05T02:20:27.9Z,4,REGULAR,freethrow,1 of 1,['fastbreak'],1641775,,,1610612738,77,105,2024-11-05T02:20:27Z,4940000,False,,,0,,MISS J. Walsh Free Throw 1 of 1,[1641775],1610612738.0,BOS,,,,Walsh,J. Walsh,,,,,,,,,,,,Missed,,,,,,,,,,,,,,
502,PT11M04.00S,2024-11-05T02:20:30.3Z,4,REGULAR,rebound,offensive,[],1641775,,,1610612738,77,105,2024-11-05T02:20:30Z,4950000,False,,,0,,J. Walsh REBOUND (Off:1 Def:2),[1641775],1610612738.0,BOS,,,,Walsh,J. Walsh,,,,,,,,,,,,,,501.0,3.0,2.0,1.0,,,,,,,,,
503,PT11M02.00S,2024-11-05T02:20:32.3Z,4,REGULAR,3pt,Jump Shot,['2ndchance'],1630202,66.04796320630749,62.254901960784316,1610612738,77,105,2024-11-05T02:20:37Z,4960000,False,61.0,267.0,1,right,MISS P. Pritchard 27' 3PT,[1630202],1610612738.0,BOS,,,,Pritchard,P. Pritchard,,,,,Above the Break 3,24+ Center,,,,,,Missed,,,,,,27.36,,,,,,,,
504,PT10M59.00S,2024-11-05T02:20:35.3Z,4,REGULAR,rebound,offensive,[],1630573,,,1610612738,77,105,2024-11-05T02:20:37Z,4970000,False,,,0,,S. Hauser REBOUND (Off:1 Def:1),[1630573],1610612738.0,BOS,,,,Hauser,S. Hauser,,,,,Above the Break 3,24+ Center,,,,,,,,503.0,2.0,1.0,1.0,,,,,,,,,
505,PT10M55.00S,2024-11-05T02:20:39.5Z,4,REGULAR,turnover,bad pass,[],1630573,,,1610612738,77,105,2024-11-05T02:20:44Z,4980000,False,,,0,,S. Hauser bad pass TURNOVER (1 TO),"[1630573, 1630168]",1610612738.0,BOS,,,,Hauser,S. Hauser,,,,,Above the Break 3,24+ Right Center,,,,,,,,,,,,,1.0,Okongwu,1630168.0,,,,,
