actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,turnoverTotal,stealPlayerName,stealPersonId,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,blockPlayerName,blockPersonId,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId
341,PT00M12.70S,2026-01-16T02:37:26.5Z,2,REGULAR,3pt,Jump Shot,[],1642271,92.46057818659659,3.1862745098039214,1610612762,70,50,2026-01-16T02:37:32Z,3390000,False,-234.0,18.0,1,right,MISS K. Filipowski 3PT,[1642271],1610612762.0,UTA,,,,Filipowski,K. Filipowski,,,,,Left Corner 3,24+ Left,,,,23.48,Missed,,,,,,,,,,,,,,,
342,PT00M10.80S,2026-01-16T02:37:28.5Z,2,REGULAR,rebound,offensive,[],1642846,,,1610612762,70,50,2026-01-16T02:37:28Z,3400000,False,,,0,,A. Bailey REBOUND (Off:2 Def:2),[1642846],1610612762.0,UTA,,,,Bailey,A. Bailey,,,,,Left Corner 3,24+ Left,,,,,,,,,,341.0,,,4.0,2.0,2.0,,,,,
343,PT00M08.60S,2026-01-16T02:37:30.7Z,2,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1642846,93.38042049934296,50.98039215686274,1610612762,70,50,2026-01-16T02:37:35Z,3410000,False,5.0,10.0,1,right,MISS A. Bailey driving Layup - blocked,"[1642846, 202691]",1610612762.0,UTA,driving,,,Bailey,A. Bailey,,,,,Restricted Area,0-8 Center,,,,1.09,Missed,,,,,,Thompson,202691.0,,,,,,,,
344,PT00M08.60S,2026-01-16T02:37:30.7Z,2,REGULAR,block,,[],202691,,,1610612762,70,50,2026-01-16T02:37:33Z,3420000,False,,,0,,K. Thompson BLOCK (1 BLK),[202691],1610612742.0,DAL,,,,Thompson,K. Thompson,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
345,PT00M08.60S,2026-01-16T02:37:30.7Z,2,REGULAR,rebound,defensive,[],1642948,,,1610612742,70,50,2026-01-16T02:37:35Z,3430000,False,,,0,,R. Nembhard REBOUND (Off:0 Def:3),[1642948],1610612742.0,DAL,,,,Nembhard,R. Nembhard,,,,,Restricted Area,0-8 Center,,,,,,,,,,343.0,,,3.0,3.0,0.0,,,,,
346,PT00M00.00S,2026-01-16T02:37:39.3Z,2,REGULAR,3pt,Jump Shot,[],1630230,28.991458607095925,25.49019607843137,1610612742,70,50,2026-01-16T02:37:43Z,3440000,False,123.0,220.0,1,left,MISS N. Marshall 25' pullup 3PT,[1630230],1610612742.0,DAL,pullup,,,Marshall,N. Marshall,,,,,Above the Break 3,24+ Right Center,,,,25.18,Missed,,,,,,,,,,,,,,,
347,PT00M00.00S,2026-01-16T02:37:39.3Z,2,REGULAR,rebound,offensive,['team'],0,,,1610612742,70,50,2026-01-16T02:37:43Z,3450000,False,,,0,,TEAM offensive REBOUND,[],1610612742.0,DAL,,,,,,,,,,Above the Break 3,24+ Right Center,,,,,,,,,,346.0,,,,,,,,,,
348,PT00M00.00S,2026-01-16T02:37:45.4Z,2,REGULAR,period,end,[],0,,,1610612742,70,50,2026-01-16T02:37:45Z,3460000,False,,,0,,Period End,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
349,PT12M00.00S,2026-01-16T02:52:36.0Z,3,REGULAR,substitution,out,['startperiod'],202691,,,1610612742,70,50,2026-01-16T02:53:06Z,3470000,False,,,0,,SUB out: K. Thompson,[202691],1610612742.0,DAL,,,,Thompson,K. Thompson,,,,,,,,,,,,,,,,,,,,,,,,,,
350,PT12M00.00S,2026-01-16T02:52:36.0Z,3,REGULAR,substitution,out,['startperiod'],1642948,,,1610612742,70,50,2026-01-16T02:53:06Z,3480000,False,,,0,,SUB out: R. Nembhard,[1642948],1610612742.0,DAL,,,,Nembhard,R. Nembhard,,,,,,,,,,,,,,,,,,,,,,,,,,
351,PT12M00.00S,2026-01-16T02:52:36.0Z,3,REGULAR,substitution,out,['startperiod'],1630619,,,1610612742,70,50,2026-01-16T02:53:06Z,3490000,False,,,0,,SUB out: M. Cisse,[1630619],1610612742.0,DAL,,,,Cisse,M. Cisse,,,,,,,,,,,,,,,,,,,,,,,,,,
352,PT12M00.00S,2026-01-16T02:52:36.0Z,3,REGULAR,substitution,in,['startperiod'],203939,,,1610612742,70,50,2026-01-16T02:53:06Z,3500000,False,,,0,,SUB in: D. Powell,[203939],1610612742.0,DAL,,,,Powell,D. Powell,,,,,,,,,,,,,,,,,,,,,,,,,,
353,PT12M00.00S,2026-01-16T02:52:36.0Z,3,REGULAR,substitution,in,['startperiod'],1630702,,,1610612742,70,50,2026-01-16T02:53:06Z,3510000,False,,,0,,SUB in: J. Hardy,[1630702],1610612742.0,DAL,,,,Hardy,J. Hardy,,,,,,,,,,,,,,,,,,,,,,,,,,
354,PT12M00.00S,2026-01-16T02:52:36.0Z,3,REGULAR,substitution,in,['startperiod'],1630314,,,1610612742,70,50,2026-01-16T02:53:06Z,3520000,False,,,0,,SUB in: B. Williams,[1630314],1610612742.0,DAL,,,,Williams,B. Williams,,,,,,,,,,,,,,,,,,,,,,,,,,
355,PT12M00.00S,2026-01-16T02:53:06.7Z,3,REGULAR,period,start,[],0,,,1610612762,70,50,2026-01-16T02:53:06Z,3530000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
356,PT11M48.00S,2026-01-16T02:53:17.4Z,3,REGULAR,3pt,Jump Shot,[],1642846,22.815374507227332,12.5,1610612762,70,50,2026-01-16T02:53:22Z,3540000,False,188.0,162.0,1,left,MISS A. Bailey 24' 3PT,[1642846],1610612762.0,UTA,,,,Bailey,A. Bailey,,,,,Above the Break 3,24+ Right Center,,,,24.78,Missed,,,,,,,,,,,,,,,
357,PT11M46.00S,2026-01-16T02:53:19.4Z,3,REGULAR,rebound,defensive,[],1630230,,,1610612742,70,50,2026-01-16T02:53:22Z,3550000,False,,,0,,N. Marshall REBOUND (Off:0 Def:5),[1630230],1610612742.0,DAL,,,,Marshall,N. Marshall,,,,,Above the Break 3,24+ Right Center,,,,,,,,,,356.0,,,5.0,5.0,0.0,,,,,
358,PT11M36.00S,2026-01-16T02:53:29.9Z,3,REGULAR,2pt,Layup,['pointsinthepaint'],1628997,93.64323258869908,50.245098039215684,1610612742,72,50,2026-01-16T02:53:33Z,3560000,False,1.0,7.0,1,right,C. Martin driving finger roll Layup (4 PTS) (B. Williams 3 AST),"[1628997, 1630314]",1610612742.0,DAL,driving finger roll,,,Martin,C. Martin,,,,,Restricted Area,0-8 Center,,,,0.74,Made,4.0,B. Williams,1630314.0,3.0,,,,,,,,,,,
360,PT11M18.00S,2026-01-16T02:53:47.4Z,3,REGULAR,2pt,Jump Shot,[],1642846,26.231931668856767,34.80392156862745,1610612762,72,50,2026-01-16T02:53:51Z,3580000,False,76.0,194.0,1,left,MISS A. Bailey 20' pullup Shot,[1642846],1610612762.0,UTA,pullup,,,Bailey,A. Bailey,,,,,Mid-Range,16-24 Right Center,,,,20.84,Missed,,,,,,,,,,,,,,,
361,PT11M16.00S,2026-01-16T02:53:49.9Z,3,REGULAR,rebound,defensive,[],1630314,,,1610612742,72,50,2026-01-16T02:53:49Z,3590000,False,,,0,,B. Williams REBOUND (Off:0 Def:2),[1630314],1610612742.0,DAL,,,,Williams,B. Williams,,,,,Mid-Range,16-24 Right Center,,,,,,,,,,360.0,,,2.0,2.0,0.0,,,,,
362,PT11M11.00S,2026-01-16T02:53:57.0Z,3,REGULAR,foul,personal,['2freethrow'],1642271,,,1610612742,72,50,2026-01-16T02:54:05Z,3600000,False,,,0,,K. Filipowski shooting personal FOUL (4 PF) (Hardy 2 FT),"[1642271, 1630702]",1610612762.0,UTA,shooting,,,Filipowski,K. Filipowski,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,1151.0,4.0,0.0,Hardy,1630702.0
364,PT11M11.00S,2026-01-16T02:54:20.5Z,3,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612742,72,50,2026-01-16T02:54:20Z,3620000,False,,,0,,UTA Timeout,[],1610612762.0,UTA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
366,PT11M11.00S,2026-01-16T02:57:21.0Z,3,REGULAR,freethrow,1 of 2,[],1630702,,,1610612742,73,50,2026-01-16T02:57:21Z,3640000,False,,,0,,J. Hardy Free Throw 1 of 2 (3 PTS),[1630702],1610612742.0,DAL,,,,Hardy,J. Hardy,,,,,,,,,,,Made,3.0,,,,,,,,,,,,,,
367,PT11M11.00S,2026-01-16T02:57:34.3Z,3,REGULAR,freethrow,2 of 2,[],1630702,,,1610612742,74,50,2026-01-16T02:57:34Z,3650000,False,,,0,,J. Hardy Free Throw 2 of 2 (4 PTS),[1630702],1610612742.0,DAL,,,,Hardy,J. Hardy,,,,,,,,,,,Made,4.0,,,,,,,,,,,,,,
368,PT10M57.00S,2026-01-16T02:57:52.6Z,3,REGULAR,turnover,traveling,[],1642262,,,1610612762,74,50,2026-01-16T02:58:00Z,3660000,False,,,0,,C. Williams traveling TURNOVER (1 TO),[1642262],1610612762.0,UTA,,,,Williams,C. Williams,,,,,Mid-Range,16-24 Left,1.0,,,,,,,,,,,,,,,1830.0,,,,
369,PT10M38.00S,2026-01-16T02:58:18.0Z,3,REGULAR,3pt,Jump Shot,['fromturnover'],1630702,67.23061760840999,50.98039215686274,1610612742,74,50,2026-01-16T02:58:23Z,3670000,False,5.0,256.0,1,right,MISS J. Hardy 25' step back 3PT,[1630702],1610612742.0,DAL,step back,,,Hardy,J. Hardy,,,,,Above the Break 3,24+ Center,,,,25.55,Missed,,,,,,,,,,,,,,,
370,PT10M36.00S,2026-01-16T02:58:20.0Z,3,REGULAR,rebound,defensive,[],1642268,,,1610612762,74,50,2026-01-16T02:58:23Z,3680000,False,,,0,,I. Collier REBOUND (Off:2 Def:1),[1642268],1610612762.0,UTA,,,,Collier,I. Collier,,,,,Above the Break 3,24+ Center,,,,,,,,,,369.0,,,3.0,1.0,2.0,,,,,
371,PT10M24.00S,2026-01-16T02:58:31.9Z,3,REGULAR,3pt,Jump Shot,[],1642268,30.699737187910642,31.127450980392158,1610612762,74,50,2026-01-16T02:58:35Z,3690000,False,94.0,236.0,1,left,MISS I. Collier 25' 3PT,[1642268],1610612762.0,UTA,,,,Collier,I. Collier,,,,,Above the Break 3,24+ Right Center,,,,25.43,Missed,,,,,,,,,,,,,,,
372,PT10M22.00S,2026-01-16T02:58:33.9Z,3,REGULAR,rebound,defensive,[],1628997,,,1610612742,74,50,2026-01-16T02:58:35Z,3700000,False,,,0,,C. Martin REBOUND (Off:0 Def:4),[1628997],1610612742.0,DAL,,,,Martin,C. Martin,,,,,Above the Break 3,24+ Right Center,,,,,,,,,,371.0,,,4.0,4.0,0.0,,,,,
373,PT10M17.00S,2026-01-16T02:58:40.4Z,3,REGULAR,2pt,Layup,"['fastbreak', 'pointsinthepaint']",1630314,94.95729303547962,56.372549019607845,1610612742,76,50,2026-01-16T03:01:18Z,3710000,False,32.0,-5.0,1,right,B. Williams running Layup (8 PTS) (C. Martin 2 AST),"[1630314, 1628997]",1610612742.0,DAL,running,,,Williams,B. Williams,,,,,Restricted Area,0-8 Center,,,,3.23,Made,8.0,C. Martin,1628997.0,2.0,,,,,,,,,,,
375,PT10M10.00S,2026-01-16T02:58:46.1Z,3,REGULAR,turnover,bad pass,[],1642271,,,1610612762,76,50,2026-01-16T02:58:50Z,3730000,False,,,0,,K. Filipowski bad pass TURNOVER (4 TO),"[1642271, 1630230]",1610612762.0,UTA,,,,Filipowski,K. Filipowski,,,,,Mid-Range,16-24 Left Center,4.0,Marshall,1630230.0,,,,,,,,,,,,,,,,,
376,PT10M10.00S,2026-01-16T02:58:46.1Z,3,REGULAR,steal,,[],1630230,,,1610612742,76,50,2026-01-16T02:58:48Z,3740000,False,,,0,,N. Marshall STEAL (2 STL),[1630230],1610612742.0,DAL,,,,Marshall,N. Marshall,,,,,Mid-Range,16-24 Left Center,,,,,,,,,,,,,,,,,,,,
377,PT10M08.00S,2026-01-16T02:58:49.0Z,3,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fromturnover']",1630230,85.9395532194481,41.919424019607845,1610612742,78,50,2026-01-16T02:59:31Z,3750000,False,-40.0,80.0,1,right,N. Marshall 8' driving floating bank Jump Shot (20 PTS),[1630230],1610612742.0,DAL,driving floating bank,,,Marshall,N. Marshall,,,,,In The Paint (Non-RA),8-16 Center,,,,8.94,Made,20.0,,,,,,,,,,,,,,
378,PT09M53.00S,2026-01-16T02:59:03.7Z,3,REGULAR,2pt,Layup,['pointsinthepaint'],1642262,9.937582128777924,44.85294117647059,1610612762,78,52,2026-01-16T03:02:10Z,3760000,False,26.0,41.0,1,left,C. Williams driving finger roll Layup (13 PTS) (K. George 2 AST),"[1642262, 1641718]",1610612762.0,UTA,driving finger roll,,,Williams,C. Williams,,,,,In The Paint (Non-RA),0-8 Center,,,,4.83,Made,13.0,K. George,1641718.0,2.0,,,,,,,,,,,
380,PT09M36.00S,2026-01-16T02:59:20.6Z,3,REGULAR,3pt,Jump Shot,[],1630702,92.46057818659659,95.83333333333334,1610612742,78,52,2026-01-16T02:59:26Z,3780000,False,229.0,18.0,1,right,MISS J. Hardy 3PT,[1630702],1610612742.0,DAL,,,,Hardy,J. Hardy,,,,,Right Corner 3,24+ Right,,,,22.99,Missed,,,,,,,,,,,,,,,
381,PT09M32.00S,2026-01-16T02:59:24.6Z,3,REGULAR,rebound,defensive,[],1641718,,,1610612762,78,52,2026-01-16T02:59:26Z,3790000,False,,,0,,K. George REBOUND (Off:1 Def:2),[1641718],1610612762.0,UTA,,,,George,K. George,,,,,Right Corner 3,24+ Right,,,,,,,,,,380.0,,,3.0,2.0,1.0,,,,,
383,PT09M26.00S,2026-01-16T02:59:50.8Z,3,REGULAR,3pt,Jump Shot,[],1642846,7.046649145860711,3.9215686274509802,1610612762,78,52,2026-01-16T02:59:54Z,3810000,False,230.0,14.0,1,left,MISS A. Bailey 3PT,[1642846],1610612762.0,UTA,,,,Bailey,A. Bailey,,,,,Right Corner 3,24+ Right,,,,23.08,Missed,,,,,,,,,,,,,,,
384,PT09M24.00S,2026-01-16T02:59:52.8Z,3,REGULAR,rebound,defensive,[],1630702,,,1610612742,78,52,2026-01-16T02:59:54Z,3820000,False,,,0,,J. Hardy REBOUND (Off:0 Def:1),[1630702],1610612742.0,DAL,,,,Hardy,J. Hardy,,,,,Right Corner 3,24+ Right,,,,,,,,,,383.0,,,1.0,1.0,0.0,,,,,
385,PT09M18.00S,2026-01-16T02:59:58.3Z,3,REGULAR,turnover,bad pass,[],1630230,,,1610612742,78,52,2026-01-16T03:00:01Z,3830000,False,,,0,,N. Marshall bad pass TURNOVER (1 TO),"[1630230, 1642271]",1610612742.0,DAL,,,,Marshall,N. Marshall,,,,,Mid-Range,8-16 Left,1.0,Filipowski,1642271.0,,,,,,,,,,,,,,,,,
386,PT09M18.00S,2026-01-16T02:59:58.3Z,3,REGULAR,steal,,[],1642271,,,1610612762,78,52,2026-01-16T02:59:59Z,3840000,False,,,0,,K. Filipowski STEAL (1 STL),[1642271],1610612762.0,UTA,,,,Filipowski,K. Filipowski,,,,,Mid-Range,8-16 Left,,,,,,,,,,,,,,,,,,,,
387,PT09M14.00S,2026-01-16T03:00:04.4Z,3,REGULAR,2pt,Layup,"['fastbreak', 'pointsinthepaint', 'fromturnover']",1642262,11.777266754270697,37.00980392156863,1610612762,78,52,2026-01-16T03:04:14Z,3850000,False,65.0,58.0,1,left,MISS C. Williams 8' running Layup - blocked,"[1642262, 1630314]",1610612762.0,UTA,running,,,Williams,C. Williams,,,,,In The Paint (Non-RA),8-16 Right,,,,8.72,Missed,,,,,,Williams,1630314.0,,,,,,,,
388,PT09M14.00S,2026-01-16T03:00:04.4Z,3,REGULAR,block,,[],1630314,,,1610612762,78,52,2026-01-16T03:00:07Z,3860000,False,,,0,,B. Williams BLOCK (1 BLK),[1630314],1610612742.0,DAL,,,,Williams,B. Williams,,,,,In The Paint (Non-RA),8-16 Right,,,,,,,,,,,,,,,,,,,,
389,PT09M14.00S,2026-01-16T03:00:04.4Z,3,REGULAR,rebound,offensive,['team'],0,,,1610612762,78,52,2026-01-16T03:00:09Z,3870000,False,,,0,,TEAM offensive REBOUND,[],1610612762.0,UTA,,,,,,,,,,In The Paint (Non-RA),8-16 Right,,,,,,,,,,387.0,,,,,,,,,,
391,PT09M11.00S,2026-01-16T03:00:26.4Z,3,REGULAR,turnover,lost ball,[],1641718,,,1610612762,78,52,2026-01-16T03:00:29Z,3890000,False,,,0,,K. George lost ball TURNOVER (3 TO),"[1641718, 1628997]",1610612762.0,UTA,,,,George,K. George,,,,,Mid-Range,16-24 Center,3.0,Martin,1628997.0,,,,,,,,,,,,,,,,,
392,PT09M11.00S,2026-01-16T03:00:26.4Z,3,REGULAR,steal,,[],1628997,,,1610612742,78,52,2026-01-16T03:00:28Z,3900000,False,,,0,,C. Martin STEAL (2 STL),[1628997],1610612742.0,DAL,,,,Martin,C. Martin,,,,,Mid-Range,16-24 Center,,,,,,,,,,,,,,,,,,,,
393,PT09M04.00S,2026-01-16T03:00:32.9Z,3,REGULAR,3pt,Jump Shot,['fromturnover'],1630702,69.07030223390277,27.941176470588236,1610612742,81,52,2026-01-16T03:05:05Z,3910000,False,-110.0,238.0,1,right,J. Hardy 26' 3PT  (7 PTS) (C. Martin 3 AST),"[1630702, 1628997]",1610612742.0,DAL,,,,Hardy,J. Hardy,,,,,Above the Break 3,24+ Left Center,,,,26.25,Made,7.0,C. Martin,1628997.0,3.0,,,,,,,,,,,
395,PT08M45.00S,2026-01-16T03:00:51.5Z,3,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1642268,5.995400788436268,55.88235294117647,1610612762,81,52,2026-01-16T03:00:56Z,3930000,False,-29.0,4.0,1,left,MISS I. Collier driving floating bank Shot,[1642268],1610612762.0,UTA,driving floating bank,,,Collier,I. Collier,,,,,Restricted Area,0-8 Center,,,,2.97,Missed,,,,,,,,,,,,,,,
396,PT08M43.00S,2026-01-16T03:00:53.2Z,3,REGULAR,rebound,offensive,[],1642268,,,1610612762,81,52,2026-01-16T03:00:53Z,3940000,False,,,0,,I. Collier REBOUND (Off:3 Def:1),[1642268],1610612762.0,UTA,,,,Collier,I. Collier,,,,,Restricted Area,0-8 Center,,,,,,,,,,395.0,,,4.0,1.0,3.0,,,,,
397,PT08M43.00S,2026-01-16T03:00:53.8Z,3,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1642268,5.732588699080158,51.225490196078425,1610612762,81,54,2026-01-16T03:05:59Z,3950000,False,-6.0,1.0,1,left,I. Collier tip Layup (4 PTS),[1642268],1610612762.0,UTA,tip,,,Collier,I. Collier,,,,,Restricted Area,0-8 Center,,,,0.63,Made,4.0,,,,,,,,,,,,,,
398,PT08M43.00S,2026-01-16T03:01:00.8Z,3,REGULAR,violation,delay-of-game,['team'],0,,,1610612742,81,54,2026-01-16T03:01:03Z,3960000,False,,,0,,TEAM delay-of-game VIOLATION,[],1610612762.0,UTA,,,,,,,,,,,,,,,,,,,,,,,,,,,1151.0,,,,
399,PT08M31.00S,2026-01-16T03:01:16.5Z,3,REGULAR,2pt,Jump Shot,[],1630314,92.59198423127464,72.54901960784314,1610612742,83,54,2026-01-16T03:06:51Z,3970000,False,113.0,17.0,1,right,B. Williams 11' fadeaway Jump Shot (10 PTS),[1630314],1610612742.0,DAL,fadeaway,,,Williams,B. Williams,,,,,Mid-Range,8-16 Right,,,,11.4,Made,10.0,,,,,,,,,,,,,,
400,PT08M18.00S,2026-01-16T03:01:33.5Z,3,REGULAR,foul,personal,['2freethrow'],1628997,,,1610612762,83,54,2026-01-16T03:01:44Z,3980000,False,,,0,,C. Martin shooting personal FOUL (2 PF) (Bailey 2 FT),"[1628997, 1642846]",1610612742.0,DAL,shooting,,,Martin,C. Martin,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,1830.0,2.0,0.0,Bailey,1642846.0
402,PT08M18.00S,2026-01-16T03:02:02.7Z,3,REGULAR,freethrow,1 of 2,[],1642846,,,1610612762,83,55,2026-01-16T03:02:02Z,4000000,False,,,0,,A. Bailey Free Throw 1 of 2 (9 PTS),[1642846],1610612762.0,UTA,,,,Bailey,A. Bailey,,,,,,,,,,,Made,9.0,,,,,,,,,,,,,,
403,PT08M18.00S,2026-01-16T03:02:07.1Z,3,REGULAR,substitution,out,[],1642271,,,1610612762,83,55,2026-01-16T03:02:13Z,4010000,False,,,0,,SUB out: K. Filipowski,[1642271],1610612762.0,UTA,,,,Filipowski,K. Filipowski,,,,,,,,,,,,,,,,,,,,,,,,,,
404,PT08M18.00S,2026-01-16T03:02:07.1Z,3,REGULAR,substitution,in,[],1641707,,,1610612762,83,55,2026-01-16T03:02:13Z,4020000,False,,,0,,SUB in: T. Hendricks,[1641707],1610612762.0,UTA,,,,Hendricks,T. Hendricks,,,,,,,,,,,,,,,,,,,,,,,,,,
405,PT08M18.00S,2026-01-16T03:02:25.0Z,3,REGULAR,freethrow,2 of 2,[],1642846,,,1610612762,83,56,2026-01-16T03:02:25Z,4030000,False,,,0,,A. Bailey Free Throw 2 of 2 (10 PTS),[1642846],1610612762.0,UTA,,,,Bailey,A. Bailey,,,,,,,,,,,Made,10.0,,,,,,,,,,,,,,
406,PT08M05.00S,2026-01-16T03:02:44.2Z,3,REGULAR,foul,personal,['2freethrow'],1642846,,,1610612742,83,56,2026-01-16T03:02:55Z,4040000,False,,,0,,A. Bailey shooting personal FOUL (2 PF) (Hardy 2 FT),"[1642846, 1630702]",1610612762.0,UTA,shooting,,,Bailey,A. Bailey,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,1830.0,2.0,0.0,Hardy,1630702.0
408,PT08M05.00S,2026-01-16T03:03:12.9Z,3,REGULAR,freethrow,1 of 2,[],1630702,,,1610612742,84,56,2026-01-16T03:03:12Z,4060000,False,,,0,,J. Hardy Free Throw 1 of 2 (8 PTS),[1630702],1610612742.0,DAL,,,,Hardy,J. Hardy,,,,,,,,,,,Made,8.0,,,,,,,,,,,,,,
409,PT08M05.00S,2026-01-16T03:03:33.1Z,3,REGULAR,freethrow,2 of 2,[],1630702,,,1610612742,85,56,2026-01-16T03:03:33Z,4070000,False,,,0,,J. Hardy Free Throw 2 of 2 (9 PTS),[1630702],1610612742.0,DAL,,,,Hardy,J. Hardy,,,,,,,,,,,Made,9.0,,,,,,,,,,,,,,
410,PT07M54.00S,2026-01-16T03:03:47.1Z,3,REGULAR,turnover,bad pass,[],1642268,,,1610612762,85,56,2026-01-16T03:03:52Z,4080000,False,,,0,,I. Collier bad pass TURNOVER (1 TO),"[1642268, 1628997]",1610612762.0,UTA,,,,Collier,I. Collier,,,,,Above the Break 3,24+ Center,1.0,Martin,1628997.0,,,,,,,,,,,,,,,,,
411,PT07M54.00S,2026-01-16T03:03:47.1Z,3,REGULAR,steal,,[],1628997,,,1610612742,85,56,2026-01-16T03:03:49Z,4090000,False,,,0,,C. Martin STEAL (3 STL),[1628997],1610612742.0,DAL,,,,Martin,C. Martin,,,,,Above the Break 3,24+ Center,,,,,,,,,,,,,,,,,,,,
412,PT07M51.00S,2026-01-16T03:03:50.3Z,3,REGULAR,2pt,DUNK,"['pointsinthepaint', 'fromturnover', 'fastbreak']",1628997,92.9862023653088,49.01960784313725,1610612742,87,56,2026-01-16T03:03:57Z,4100000,False,-5.0,13.0,1,right,C. Martin running reverse DUNK (6 PTS),[1628997],1610612742.0,DAL,running reverse,,,Martin,C. Martin,,,,,Restricted Area,0-8 Center,,,,1.43,Made,6.0,,,,,,,,,,,,,,
413,PT07M34.00S,2026-01-16T03:04:05.6Z,3,REGULAR,3pt,Jump Shot,[],1641707,16.113666228646515,4.166666666666666,1610612762,87,59,2026-01-16T03:04:09Z,4110000,False,229.0,99.0,1,left,T. Hendricks 24' 3PT step back (3 PTS) (A. Bailey 2 AST),"[1641707, 1642846]",1610612762.0,UTA,step back,,,Hendricks,T. Hendricks,,,,,Above the Break 3,24+ Right Center,,,,24.97,Made,3.0,A. Bailey,1642846.0,2.0,,,,,,,,,,,
415,PT07M27.00S,2026-01-16T03:04:13.4Z,3,REGULAR,2pt,Layup,['pointsinthepaint'],1630230,94.1688567674113,50.245098039215684,1610612742,89,59,2026-01-16T03:04:21Z,4130000,False,1.0,2.0,1,right,N. Marshall driving reverse Layup (22 PTS) (C. Martin 4 AST),"[1630230, 1628997]",1610612742.0,DAL,driving reverse,,,Marshall,N. Marshall,,,,,Restricted Area,0-8 Center,,,,0.26,Made,22.0,C. Martin,1628997.0,4.0,,,,,,,,,,,
417,PT07M26.00S,2026-01-16T03:04:18.6Z,3,REGULAR,violation,delay-of-game,['team'],0,,,1610612762,89,59,2026-01-16T03:04:23Z,4150000,False,,,0,,TEAM delay-of-game VIOLATION,[],1610612742.0,DAL,,,,,,,,,,,,,,,,,,,,,,,,,,,1627526.0,,,,
418,PT07M16.00S,2026-01-16T03:04:37.5Z,3,REGULAR,3pt,Jump Shot,[],1641718,29.38567674113009,26.715686274509803,1610612762,89,62,2026-01-16T03:09:05Z,4160000,False,116.0,224.0,1,left,K. George 25' 3PT  (15 PTS) (I. Collier 9 AST),"[1641718, 1642268]",1610612762.0,UTA,,,,George,K. George,,,,,Above the Break 3,24+ Right Center,,,,25.22,Made,15.0,I. Collier,1642268.0,9.0,,,,,,,,,,,
420,PT06M58.00S,2026-01-16T03:04:56.1Z,3,REGULAR,2pt,Jump Shot,[],1630314,86.15308804204993,29.65686274509804,1610612742,91,62,2026-01-16T03:09:52Z,4180000,False,-102.0,78.0,1,right,B. Williams 12' fadeaway Jump Shot (12 PTS) (J. Hardy 3 AST),"[1630314, 1630702]",1610612742.0,DAL,fadeaway,,,Williams,B. Williams,,,,,Mid-Range,8-16 Left,,,,12.8,Made,12.0,J. Hardy,1630702.0,3.0,,,,,,,,,,,
422,PT06M37.00S,2026-01-16T03:05:17.7Z,3,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1642846,5.995400788436268,59.31372549019608,1610612762,91,62,2026-01-16T03:05:21Z,4200000,False,-47.0,4.0,1,left,MISS A. Bailey driving floating bank Shot,[1642846],1610612762.0,UTA,driving floating bank,,,Bailey,A. Bailey,,,,,In The Paint (Non-RA),0-8 Center,,,,4.68,Missed,,,,,,,,,,,,,,,
423,PT06M33.00S,2026-01-16T03:05:21.7Z,3,REGULAR,rebound,offensive,[],1642262,,,1610612762,91,62,2026-01-16T03:05:21Z,4210000,False,,,0,,C. Williams REBOUND (Off:1 Def:1),[1642262],1610612762.0,UTA,,,,Williams,C. Williams,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,422.0,,,2.0,1.0,1.0,,,,,
424,PT06M33.00S,2026-01-16T03:05:20.5Z,3,REGULAR,2pt,Layup,"['2ndchance', 'pointsinthepaint']",1642262,5.590000152587891,50.0,1610612762,91,62,2026-01-16T03:05:23Z,4220000,False,0.0,0.0,1,left,MISS C. Williams tip Layup,[1642262],1610612762.0,UTA,tip,,,Williams,C. Williams,,,,,Restricted Area,0-8 Center,,,,0.0,Missed,,,,,,,,,,,,,,,
