actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,blockPlayerName,blockPersonId,shotActionNumber,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,stealPlayerName,stealPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal
62,PT07M40.00S,2026-03-01T22:20:27.1Z,1,REGULAR,freethrow,1 of 1,[],1630590,,,1610612763,15,13,2026-03-01T22:20:27Z,620000,False,,,0,,S. Pippen Jr. technical Free Throw 1 of 1 (3 PTS),[1630590],1610612763.0,MEM,technical,,,Pippen Jr.,S. Pippen Jr.,,,,,,,,Made,,,,3.0,,,,,,,,,,,,,,
63,PT07M36.00S,2026-03-01T22:20:42.9Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1642914,18.2161629434954,40.68627450980392,1610612763,15,13,2026-03-01T22:20:51Z,630000,False,47.0,119.0,1,left,MISS J. Small 12' driving floating Shot,[1642914],1610612763.0,MEM,driving floating,,,Small,J. Small,,,,,In The Paint (Non-RA),8-16 Center,12.75,Missed,,,,,,,,,,,,,,,,,,
64,PT07M35.00S,2026-03-01T22:20:43.9Z,1,REGULAR,rebound,offensive,[],1641765,,,1610612763,15,13,2026-03-01T22:22:20Z,640000,False,,,0,,O. Prosper REBOUND (Off:1 Def:0),[1641765],1610612763.0,MEM,,,,Prosper,O. Prosper,,,,,In The Paint (Non-RA),8-16 Center,,,,,63.0,,,,,,,,,,,,,1.0,0.0,1.0
65,PT07M34.00S,2026-03-01T22:20:47.2Z,1,REGULAR,2pt,Layup,"['2ndchance', 'pointsinthepaint']",1641765,5.590000152587891,50.0,1610612763,15,15,2026-03-01T22:22:28Z,650000,False,0.0,0.0,1,left,O. Prosper tip Layup (4 PTS),[1641765],1610612763.0,MEM,tip,,,Prosper,O. Prosper,,,,,Restricted Area,0-8 Center,0.0,Made,,,,4.0,,,,,,,,,,,,,,
66,PT07M10.00S,2026-03-01T22:21:08.7Z,1,REGULAR,2pt,Jump Shot,[],1641716,79.188567674113,32.84313725490196,1610612754,17,15,2026-03-01T22:21:12Z,660000,False,-86.0,143.0,1,right,J. Walker 16' pullup Jump Shot (6 PTS),[1641716],1610612754.0,IND,pullup,,,Walker,J. Walker,,,,,Mid-Range,16-24 Left Center,16.69,Made,,,,6.0,,,,,,,,,,,,,,
67,PT06M56.00S,2026-03-01T22:21:23.9Z,1,REGULAR,3pt,Jump Shot,[],1641765,23.340998685939553,12.009803921568627,1610612763,17,15,2026-03-01T22:22:35Z,670000,False,190.0,167.0,1,left,MISS O. Prosper 25' 3PT,[1641765],1610612763.0,MEM,,,,Prosper,O. Prosper,,,,,Above the Break 3,24+ Right Center,25.29,Missed,,,,,,,,,,,,,,,,,,
68,PT06M54.00S,2026-03-01T22:21:25.9Z,1,REGULAR,rebound,defensive,[],1630167,,,1610612754,17,15,2026-03-01T22:22:35Z,680000,False,,,0,,O. Toppin REBOUND (Off:0 Def:2),[1630167],1610612754.0,IND,,,,Toppin,O. Toppin,,,,,Above the Break 3,24+ Right Center,,,,,67.0,,,,,,,,,,,,,2.0,2.0,0.0
69,PT06M49.00S,2026-03-01T22:21:33.8Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612754,17,15,2026-03-01T22:21:33Z,690000,False,,,0,,IND Timeout,[],1610612754.0,IND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,PT06M49.00S,2026-03-01T22:23:35.0Z,1,REGULAR,substitution,out,[],1630167,,,1610612754,17,15,2026-03-01T22:24:06Z,700000,False,,,0,,SUB out: O. Toppin,[1630167],1610612754.0,IND,,,,Toppin,O. Toppin,,,,,,,,,,,,,,,,,,,,,,,,,,
71,PT06M49.00S,2026-03-01T22:23:35.0Z,1,REGULAR,substitution,out,[],1641716,,,1610612754,17,15,2026-03-01T22:24:06Z,710000,False,,,0,,SUB out: J. Walker,[1641716],1610612754.0,IND,,,,Walker,J. Walker,,,,,,,,,,,,,,,,,,,,,,,,,,
72,PT06M49.00S,2026-03-01T22:23:35.0Z,1,REGULAR,substitution,out,[],1641767,,,1610612754,17,15,2026-03-01T22:24:06Z,720000,False,,,0,,SUB out: B. Sheppard,[1641767],1610612754.0,IND,,,,Sheppard,B. Sheppard,,,,,,,,,,,,,,,,,,,,,,,,,,
73,PT06M49.00S,2026-03-01T22:23:35.0Z,1,REGULAR,substitution,out,[],1630643,,,1610612754,17,15,2026-03-01T22:24:06Z,730000,False,,,0,,SUB out: J. Huff,[1630643],1610612754.0,IND,,,,Huff,J. Huff,,,,,,,,,,,,,,,,,,,,,,,,,,
74,PT06M49.00S,2026-03-01T22:23:35.0Z,1,REGULAR,substitution,out,[],1630590,,,1610612754,17,15,2026-03-01T22:24:06Z,740000,False,,,0,,SUB out: S. Pippen Jr.,[1630590],1610612763.0,MEM,,,,Pippen Jr.,S. Pippen Jr.,,,,,,,,,,,,,,,,,,,,,,,,,,
75,PT06M49.00S,2026-03-01T22:23:35.0Z,1,REGULAR,substitution,out,[],1641765,,,1610612754,17,15,2026-03-01T22:24:06Z,750000,False,,,0,,SUB out: O. Prosper,[1641765],1610612763.0,MEM,,,,Prosper,O. Prosper,,,,,,,,,,,,,,,,,,,,,,,,,,
76,PT06M49.00S,2026-03-01T22:23:35.0Z,1,REGULAR,substitution,in,[],1643007,,,1610612754,17,15,2026-03-01T22:24:06Z,760000,False,,,0,,SUB in: T. Peter,[1643007],1610612754.0,IND,,,,Peter,T. Peter,,,,,,,,,,,,,,,,,,,,,,,,,,
77,PT06M49.00S,2026-03-01T22:23:35.0Z,1,REGULAR,substitution,in,[],1630695,,,1610612754,17,15,2026-03-01T22:24:06Z,770000,False,,,0,,SUB in: M. Potter,[1630695],1610612754.0,IND,,,,Potter,M. Potter,,,,,,,,,,,,,,,,,,,,,,,,,,
78,PT06M49.00S,2026-03-01T22:23:35.0Z,1,REGULAR,substitution,in,[],1641738,,,1610612754,17,15,2026-03-01T22:24:06Z,780000,False,,,0,,SUB in: K. Brown,[1641738],1610612754.0,IND,,,,Brown,K. Brown,,,,,,,,,,,,,,,,,,,,,,,,,,
79,PT06M49.00S,2026-03-01T22:23:35.0Z,1,REGULAR,substitution,in,[],1631245,,,1610612754,17,15,2026-03-01T22:24:06Z,790000,False,,,0,,SUB in: Q. Jackson,[1631245],1610612754.0,IND,,,,Jackson,Q. Jackson,,,,,,,,,,,,,,,,,,,,,,,,,,
80,PT06M49.00S,2026-03-01T22:23:35.0Z,1,REGULAR,substitution,in,[],1642942,,,1610612754,17,15,2026-03-01T22:24:06Z,800000,False,,,0,,SUB in: J. Mashack,[1642942],1610612763.0,MEM,,,,Mashack,J. Mashack,,,,,,,,,,,,,,,,,,,,,,,,,,
81,PT06M49.00S,2026-03-01T22:23:35.0Z,1,REGULAR,substitution,in,[],1641707,,,1610612754,17,15,2026-03-01T22:24:06Z,810000,False,,,0,,SUB in: T. Hendricks,[1641707],1610612763.0,MEM,,,,Hendricks,T. Hendricks,,,,,,,,,,,,,,,,,,,,,,,,,,
83,PT06M43.00S,2026-03-01T22:24:39.4Z,1,REGULAR,foul,personal,['2freethrow'],1642914,,,1610612754,17,15,2026-03-01T22:24:43Z,830000,False,,,0,,J. Small shooting personal FOUL (1 PF) (Jones 2 FT),"[1642914, 1642880]",1610612763.0,MEM,shooting,,,Small,J. Small,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,1628481.0,1.0,0.0,Jones,1642880.0,,,
85,PT06M43.00S,2026-03-01T22:24:57.4Z,1,REGULAR,freethrow,1 of 2,[],1642880,,,1610612754,18,15,2026-03-01T22:24:57Z,850000,False,,,0,,K. Jones Free Throw 1 of 2 (3 PTS),[1642880],1610612754.0,IND,,,,Jones,K. Jones,,,,,,,,Made,,,,3.0,,,,,,,,,,,,,,
86,PT06M43.00S,2026-03-01T22:25:12.9Z,1,REGULAR,freethrow,2 of 2,[],1642880,,,1610612754,19,15,2026-03-01T22:25:12Z,860000,False,,,0,,K. Jones Free Throw 2 of 2 (4 PTS),[1642880],1610612754.0,IND,,,,Jones,K. Jones,,,,,,,,Made,,,,4.0,,,,,,,,,,,,,,
87,PT06M28.00S,2026-03-01T22:25:29.4Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1642942,8.492115637319317,42.64705882352941,1610612763,19,15,2026-03-01T22:25:34Z,870000,False,37.0,27.0,1,left,MISS J. Mashack driving floating Shot,[1642942],1610612763.0,MEM,driving floating,,,Mashack,J. Mashack,,,,,In The Paint (Non-RA),0-8 Center,4.58,Missed,,,,,,,,,,,,,,,,,,
88,PT06M26.00S,2026-03-01T22:25:31.4Z,1,REGULAR,rebound,offensive,[],1641707,,,1610612763,19,15,2026-03-01T22:25:55Z,880000,False,,,0,,T. Hendricks REBOUND (Off:1 Def:0),[1641707],1610612763.0,MEM,,,,Hendricks,T. Hendricks,,,,,In The Paint (Non-RA),0-8 Center,,,,,87.0,,,,,,,,,,,,,1.0,0.0,1.0
