actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,pointsTotal,officialId,foulPersonalTotal,foulTechnicalTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,assistPlayerNameInitial,assistPersonId,assistTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId,value
265,PT03M36.00S,2022-01-11T01:29:07.8Z,2,REGULAR,turnover,lost ball,[],1628369,,,1610612738,35,32,2022-01-11T01:29:16Z,2610000,,,0,,J. Tatum lost ball TURNOVER (3 TO),"[1628369, 1626167]",1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,,,,,,,,,,,3.0,,,,Turner,1626167.0,,,
266,PT03M36.00S,2022-01-11T01:29:07.8Z,2,REGULAR,steal,,[],1626167,,,1610612754,35,32,2022-01-11T01:30:29Z,2620000,,,0,,M. Turner STEAL (1 STL),[1626167],1610612754.0,IND,,,,Turner,M. Turner,,,,,,,,,,,,,,,,,,,,,,,,,
267,PT03M33.00S,2022-01-11T01:29:12.7Z,2,REGULAR,2pt,Layup,"['fastbreak', 'pointsinthepaint', 'fromturnover']",203200,6.389618922470433,54.41176470588235,1610612754,35,32,2022-01-11T01:31:45Z,2630000,-22.0,8.0,1,left,MISS J. Holiday running finger roll Layup,[203200],1610612754.0,IND,running finger roll,,,Holiday,J. Holiday,,,,,2.34,Missed,,,,,,,,,,,,,,,,,,,
268,PT03M31.00S,2022-01-11T01:29:14.7Z,2,REGULAR,rebound,offensive,[],1626167,,,1610612754,35,32,2022-01-11T01:31:45Z,2640000,,,0,,M. Turner REBOUND (Off:1 Def:1),[1626167],1610612754.0,IND,,,,Turner,M. Turner,,,,,,,,,,,267.0,2.0,1.0,1.0,,,,,,,,,,,
269,PT03M31.00S,2022-01-11T01:29:15.5Z,2,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', '2ndchance']",1626167,8.492115637319317,50.49019607843137,1610612754,35,34,2022-01-11T01:31:58Z,2650000,-2.0,27.0,1,left,M. Turner tip Layup (6 PTS),[1626167],1610612754.0,IND,tip,,,Turner,M. Turner,,,,,2.74,Made,6.0,,,,,,,,,,,,,,,,,,
270,PT03M12.00S,2022-01-11T01:29:30.7Z,2,REGULAR,2pt,Layup,['pointsinthepaint'],1628369,91.67214191852825,51.9607843137255,1610612738,37,34,2022-01-11T01:29:38Z,2660000,10.0,26.0,1,right,J. Tatum driving finger roll Layup (9 PTS),[1628369],1610612738.0,BOS,driving finger roll,,,Tatum,J. Tatum,,,,,2.76,Made,9.0,,,,,,,,,,,,,,,,,,
271,PT02M58.00S,2022-01-11T01:29:44.9Z,2,REGULAR,3pt,Jump Shot,[],1626208,30.831143232588698,24.019607843137255,1610612754,37,34,2022-01-11T01:32:56Z,2670000,130.0,237.0,1,left,MISS K. Sykes 27' pullup 3PT,[1626208],1610612754.0,IND,pullup,,,Sykes,K. Sykes,,,,,27.05,Missed,,,,,,,,,,,,,,,,,,,
272,PT02M55.00S,2022-01-11T01:29:47.9Z,2,REGULAR,rebound,defensive,[],1629057,,,1610612738,37,34,2022-01-11T01:29:54Z,2680000,,,0,,R. Williams III REBOUND (Off:3 Def:1),[1629057],1610612738.0,BOS,,,,Williams III,R. Williams III,,,,,,,,,,,271.0,4.0,1.0,3.0,,,,,,,,,,,
273,PT02M48.00S,2022-01-11T01:29:55.3Z,2,REGULAR,2pt,Layup,['pointsinthepaint'],1627759,90.62089356110381,38.72549019607843,1610612738,37,34,2022-01-11T01:30:06Z,2690000,-56.0,36.0,1,right,MISS J. Brown 6' driving Layup,[1627759],1610612738.0,BOS,driving,,,Brown,J. Brown,,,,,6.67,Missed,,,,,,,,,,,,,,,,,,,
274,PT02M46.00S,2022-01-11T01:29:57.3Z,2,REGULAR,rebound,defensive,['team'],0,,,1610612754,37,34,2022-01-11T01:30:06Z,2700000,,,0,,TEAM defensive REBOUND,[],1610612754.0,IND,,,,,,,,,,,,,,,,273.0,,,,,,,,,,,,,,
275,PT02M46.00S,2022-01-11T01:30:01.8Z,2,REGULAR,stoppage,out-of-bounds,[],0,,,1610612754,37,34,2022-01-11T01:30:01Z,2710000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
276,PT02M46.00S,2022-01-11T01:30:02.9Z,2,REGULAR,substitution,out,[],1629052,,,1610612754,37,34,2022-01-11T01:30:17Z,2720000,,,0,,SUB out: O. Brissett,[1629052],1610612754.0,IND,,,,Brissett,O. Brissett,,,,,,,,,,,,,,,,,,,,,,,,,
277,PT02M46.00S,2022-01-11T01:30:02.9Z,2,REGULAR,substitution,in,[],1627734,,,1610612754,37,34,2022-01-11T01:30:17Z,2730000,,,0,,SUB in: D. Sabonis,[1627734],1610612754.0,IND,,,,Sabonis,D. Sabonis,,,,,,,,,,,,,,,,,,,,,,,,,
278,PT02M28.00S,2022-01-11T01:30:34.2Z,2,REGULAR,3pt,Jump Shot,[],1630613,28.991458607095925,19.362745098039216,1610612754,37,37,2022-01-11T01:30:40Z,2740000,153.0,220.0,1,left,D. Washington Jr. 26' 3PT  (5 PTS) (K. Sykes 3 AST),"[1630613, 1626208]",1610612754.0,IND,,,,Washington Jr.,D. Washington Jr.,,,,,26.81,Made,5.0,,,,,,,,,,,K. Sykes,1626208.0,3.0,,,,,
280,PT02M00.00S,2022-01-11T01:31:02.3Z,2,REGULAR,3pt,Jump Shot,[],203935,65.1281208935611,18.627450980392158,1610612738,40,37,2022-01-11T01:31:16Z,2760000,-157.0,275.0,1,right,M. Smart 31' 3PT  (9 PTS) (J. Richardson 1 AST),"[203935, 1626196]",1610612738.0,BOS,,,,Smart,M. Smart,,,,,31.69,Made,9.0,,,,,,,,,,,J. Richardson,1626196.0,1.0,,,,,
281,PT01M45.00S,2022-01-11T01:31:17.1Z,2,REGULAR,3pt,Jump Shot,[],1630613,30.56833114323259,70.34313725490196,1610612754,40,37,2022-01-11T01:31:24Z,2770000,-102.0,235.0,1,left,MISS D. Washington Jr. 25' 3PT,[1630613],1610612754.0,IND,,,,Washington Jr.,D. Washington Jr.,,,,,25.59,Missed,,,,,,,,,,,,,,,,,,,
282,PT01M42.00S,2022-01-11T01:31:20.1Z,2,REGULAR,rebound,defensive,[],1627759,,,1610612738,40,37,2022-01-11T01:31:24Z,2780000,,,0,,J. Brown REBOUND (Off:0 Def:5),[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,,,,,,,281.0,5.0,5.0,0.0,,,,,,,,,,,
284,PT01M35.00S,2022-01-11T01:31:27.2Z,2,REGULAR,3pt,Jump Shot,[],203935,81.8166885676741,4.6568627450980395,1610612738,40,37,2022-01-11T01:31:32Z,2790000,-227.0,118.0,1,right,MISS M. Smart 25' 3PT,[203935],1610612738.0,BOS,,,,Smart,M. Smart,,,,,25.58,Missed,,,,,,,,,,,,,,,,,,,
285,PT01M32.00S,2022-01-11T01:31:30.2Z,2,REGULAR,rebound,defensive,[],1627734,,,1610612754,40,37,2022-01-11T01:31:32Z,2800000,,,0,,D. Sabonis REBOUND (Off:2 Def:5),[1627734],1610612754.0,IND,,,,Sabonis,D. Sabonis,,,,,,,,,,,284.0,7.0,5.0,2.0,,,,,,,,,,,
286,PT01M22.00S,2022-01-11T01:31:42.9Z,2,REGULAR,stoppage,out-of-bounds,[],0,,,1610612754,40,37,2022-01-11T01:31:42Z,2810000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
287,PT01M22.00S,2022-01-11T01:31:46.0Z,2,REGULAR,substitution,out,[],1626196,,,1610612754,40,37,2022-01-11T01:31:52Z,2820000,,,0,,SUB out: J. Richardson,[1626196],1610612738.0,BOS,,,,Richardson,J. Richardson,,,,,,,,,,,,,,,,,,,,,,,,,
288,PT01M22.00S,2022-01-11T01:31:46.0Z,2,REGULAR,substitution,in,[],201143,,,1610612754,40,37,2022-01-11T01:31:52Z,2830000,,,0,,SUB in: A. Horford,[201143],1610612738.0,BOS,,,,Horford,A. Horford,,,,,,,,,,,,,,,,,,,,,,,,,
289,PT01M20.00S,2022-01-11T01:32:09.3Z,2,REGULAR,3pt,Jump Shot,[],1626208,33.85348226018397,21.568627450980394,1610612754,40,37,2022-01-11T01:32:17Z,2840000,142.0,266.0,1,left,MISS K. Sykes 30' 3PT,[1626208],1610612754.0,IND,,,,Sykes,K. Sykes,,,,,30.14,Missed,,,,,,,,,,,,,,,,,,,
290,PT01M18.00S,2022-01-11T01:32:11.3Z,2,REGULAR,rebound,defensive,[],1628369,,,1610612738,40,37,2022-01-11T01:32:17Z,2850000,,,0,,J. Tatum REBOUND (Off:0 Def:6),[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,,,,,289.0,6.0,6.0,0.0,,,,,,,,,,,
291,PT01M06.00S,2022-01-11T01:32:22.9Z,2,REGULAR,2pt,Jump Shot,['pointsinthepaint'],203935,85.0197109067017,41.919424019607845,1610612738,40,37,2022-01-11T01:32:31Z,2860000,-40.0,88.0,1,right,MISS M. Smart 9' pullup Shot,[203935],1610612738.0,BOS,pullup,,,Smart,M. Smart,,,,,9.71,Missed,,,,,,,,,,,,,,,,,,,
292,PT01M04.00S,2022-01-11T01:32:24.9Z,2,REGULAR,rebound,offensive,[],1629057,,,1610612738,40,37,2022-01-11T01:32:31Z,2870000,,,0,,R. Williams III REBOUND (Off:4 Def:1),[1629057],1610612738.0,BOS,,,,Williams III,R. Williams III,,,,,,,,,,,291.0,5.0,1.0,4.0,,,,,,,,,,,
293,PT01M00.00S,2022-01-11T01:32:29.0Z,2,REGULAR,turnover,lost ball,[],201143,,,1610612738,40,37,2022-01-11T01:32:37Z,2880000,,,0,,A. Horford lost ball TURNOVER (2 TO),"[201143, 1626167]",1610612738.0,BOS,,,,Horford,A. Horford,,,,,,,,,,,,,,,,,2.0,,,,Turner,1626167.0,,,
294,PT01M00.00S,2022-01-11T01:32:29.0Z,2,REGULAR,steal,,[],1626167,,,1610612754,40,37,2022-01-11T01:32:49Z,2890000,,,0,,M. Turner STEAL (2 STL),[1626167],1610612754.0,IND,,,,Turner,M. Turner,,,,,,,,,,,,,,,,,,,,,,,,,
295,PT00M58.00S,2022-01-11T01:32:32.8Z,2,REGULAR,2pt,Layup,"['fastbreak', 'pointsinthepaint', 'fromturnover']",1630613,5.469776609724048,54.166666666666664,1610612754,40,39,2022-01-11T01:34:01Z,2900000,-21.0,-1.0,1,left,D. Washington Jr. running Layup (7 PTS),[1630613],1610612754.0,IND,running,,,Washington Jr.,D. Washington Jr.,,,,,2.08,Made,7.0,,,,,,,,,,,,,,,,,,
296,PT00M37.20S,2022-01-11T01:32:55.9Z,2,REGULAR,2pt,Layup,['pointsinthepaint'],1627759,93.11760840998686,44.36274509803921,1610612738,40,39,2022-01-11T01:35:06Z,2910000,-28.0,12.0,1,right,MISS J. Brown driving finger roll Layup,[1627759],1610612738.0,BOS,driving finger roll,,,Brown,J. Brown,,,,,3.07,Missed,,,,,,,,,,,,,,,,,,,
297,PT00M36.50S,2022-01-11T01:32:56.6Z,2,REGULAR,rebound,offensive,[],1629057,,,1610612738,40,39,2022-01-11T01:33:03Z,2920000,,,0,,R. Williams III REBOUND (Off:5 Def:1),[1629057],1610612738.0,BOS,,,,Williams III,R. Williams III,,,,,,,,,,,296.0,6.0,1.0,5.0,,,,,,,,,,,
298,PT00M36.50S,2022-01-11T01:33:00.1Z,2,REGULAR,2pt,DUNK,"['2ndchance', 'pointsinthepaint']",1629057,94.40999984741211,50.0,1610612738,42,39,2022-01-11T01:33:09Z,2930000,0.0,0.0,1,right,R. Williams III tip DUNK (10 PTS),[1629057],1610612738.0,BOS,tip,,,Williams III,R. Williams III,,,,,0.0,Made,10.0,,,,,,,,,,,,,,,,,,
299,PT00M31.60S,2022-01-11T01:33:07.2Z,2,REGULAR,3pt,Jump Shot,[],1626208,5.732588699080158,95.09803921568627,1610612754,42,39,2022-01-11T01:33:17Z,2940000,-225.0,1.0,1,left,MISS K. Sykes 3PT,[1626208],1610612754.0,IND,,,,Sykes,K. Sykes,,,,,22.55,Missed,,,,,,,,,,,,,,,,,,,
300,PT00M29.60S,2022-01-11T01:33:09.2Z,2,REGULAR,rebound,defensive,[],1627759,,,1610612738,42,39,2022-01-11T01:33:17Z,2950000,,,0,,J. Brown REBOUND (Off:0 Def:6),[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,,,,,,,299.0,6.0,6.0,0.0,,,,,,,,,,,
301,PT00M07.70S,2022-01-11T01:33:29.2Z,2,REGULAR,2pt,Jump Shot,[],1628369,87.79977003942182,76.00337009803921,1610612738,42,39,2022-01-11T01:36:09Z,2960000,130.0,62.0,1,right,MISS J. Tatum 14' step back Shot,[1628369],1610612738.0,BOS,step back,,,Tatum,J. Tatum,,,,,14.41,Missed,,,,,,,,,,,,,,,,,,,
302,PT00M03.40S,2022-01-11T01:33:33.5Z,2,REGULAR,rebound,defensive,[],1626208,,,1610612754,42,39,2022-01-11T01:33:40Z,2970000,,,0,,K. Sykes REBOUND (Off:0 Def:2),[1626208],1610612754.0,IND,,,,Sykes,K. Sykes,,,,,,,,,,,301.0,2.0,2.0,0.0,,,,,,,,,,,
303,PT00M01.00S,2022-01-11T01:33:38.9Z,2,REGULAR,3pt,Jump Shot,[],1630613,21.23850197109067,11.27450980392157,1610612754,42,39,2022-01-11T01:33:49Z,2980000,194.0,147.0,1,left,MISS D. Washington Jr. 24' 3PT - blocked,"[1630613, 1627759]",1610612754.0,IND,,,,Washington Jr.,D. Washington Jr.,,,,,24.31,Missed,,,,,,,,,,,,,,,,,Brown,1627759.0,
304,PT00M01.00S,2022-01-11T01:33:38.9Z,2,REGULAR,block,,[],1627759,,,1610612754,42,39,2022-01-11T01:33:41Z,2990000,,,0,,J. Brown BLOCK (1 BLK),[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,,,,,,,,,,,,,,,,,,,,,
305,PT00M01.00S,2022-01-11T01:33:38.9Z,2,REGULAR,rebound,offensive,['team'],0,,,1610612754,42,39,2022-01-11T01:33:49Z,3000000,,,0,,TEAM offensive REBOUND,[],1610612754.0,IND,,,,,,,,,,,,,,,,303.0,,,,,,,,,,,,,,
306,PT00M00.00S,2022-01-11T01:33:43.0Z,2,REGULAR,period,end,[],0,,,1610612754,42,39,2022-01-11T01:33:43Z,3010000,,,0,,Period End,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
307,PT12M00.00S,2022-01-11T01:48:57.7Z,3,REGULAR,period,start,[],0,,,1610612754,42,39,2022-01-11T01:48:57Z,3020000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
308,PT11M39.00S,2022-01-11T01:49:18.1Z,3,REGULAR,2pt,Jump Shot,[],1630613,80.15768725361366,21.59160539215686,1610612754,42,41,2022-01-11T01:49:25Z,3030000,-142.0,134.0,1,right,D. Washington Jr. 19' pullup Jump Shot (9 PTS) (D. Sabonis 1 AST),"[1630613, 1627734]",1610612754.0,IND,pullup,,,Washington Jr.,D. Washington Jr.,,,,,19.52,Made,9.0,,,,,,,,,,,D. Sabonis,1627734.0,1.0,,,,,
310,PT11M14.00S,2022-01-11T01:49:42.1Z,3,REGULAR,2pt,Jump Shot,[],1627759,20.2365308804205,27.228860294117645,1610612738,44,41,2022-01-11T01:49:49Z,3050000,114.0,138.0,1,left,J. Brown 17' turnaround Jump Shot (8 PTS),[1627759],1610612738.0,BOS,turnaround,,,Brown,J. Brown,,,,,17.87,Made,8.0,,,,,,,,,,,,,,,,,,
311,PT10M52.00S,2022-01-11T01:50:04.9Z,3,REGULAR,3pt,Jump Shot,[],203200,70.17082785808148,79.18964460784314,1610612754,44,41,2022-01-11T01:50:15Z,3060000,146.0,228.0,1,right,MISS J. Holiday 27' 3PT,[203200],1610612754.0,IND,,,,Holiday,J. Holiday,,,,,27.06,Missed,,,,,,,,,,,,,,,,,,,
312,PT10M50.00S,2022-01-11T01:50:06.9Z,3,REGULAR,rebound,defensive,[],1629057,,,1610612738,44,41,2022-01-11T01:50:15Z,3070000,,,0,,R. Williams III REBOUND (Off:5 Def:2),[1629057],1610612738.0,BOS,,,,Williams III,R. Williams III,,,,,,,,,,,311.0,7.0,2.0,5.0,,,,,,,,,,,
313,PT10M41.00S,2022-01-11T01:50:15.4Z,3,REGULAR,3pt,Jump Shot,[],1628369,33.196452036793694,48.28431372549019,1610612738,44,41,2022-01-11T01:50:31Z,3080000,9.0,260.0,1,left,MISS J. Tatum 25' pullup 3PT,[1628369],1610612738.0,BOS,pullup,,,Tatum,J. Tatum,,,,,25.96,Missed,,,,,,,,,,,,,,,,,,,
314,PT10M38.00S,2022-01-11T01:50:18.4Z,3,REGULAR,rebound,defensive,[],1626167,,,1610612754,44,41,2022-01-11T01:50:31Z,3090000,,,0,,M. Turner REBOUND (Off:1 Def:2),[1626167],1610612754.0,IND,,,,Turner,M. Turner,,,,,,,,,,,313.0,3.0,2.0,1.0,,,,,,,,,,,
315,PT10M29.00S,2022-01-11T01:50:27.6Z,3,REGULAR,2pt,Jump Shot,[],1630613,78.79434954007884,75.0,1610612754,44,41,2022-01-11T01:50:38Z,3100000,125.0,147.0,1,right,MISS D. Washington Jr. 19' step back Shot,[1630613],1610612754.0,IND,step back,,,Washington Jr.,D. Washington Jr.,,,,,19.28,Missed,,,,,,,,,,,,,,,,,,,
316,PT10M26.00S,2022-01-11T01:50:30.6Z,3,REGULAR,rebound,defensive,[],1629057,,,1610612738,44,41,2022-01-11T01:50:38Z,3110000,,,0,,R. Williams III REBOUND (Off:5 Def:3),[1629057],1610612738.0,BOS,,,,Williams III,R. Williams III,,,,,,,,,,,315.0,8.0,3.0,5.0,,,,,,,,,,,
317,PT10M18.00S,2022-01-11T01:50:38.7Z,3,REGULAR,turnover,lost ball,[],203935,,,1610612738,44,41,2022-01-11T01:51:02Z,3120000,,,0,,M. Smart lost ball TURNOVER (3 TO),"[203935, 203200]",1610612738.0,BOS,,,,Smart,M. Smart,,,,,,,,,,,,,,,,,3.0,,,,Holiday,203200.0,,,
318,PT10M18.00S,2022-01-11T01:50:38.7Z,3,REGULAR,steal,,[],203200,,,1610612754,44,41,2022-01-11T01:50:40Z,3130000,,,0,,J. Holiday STEAL (2 STL),[203200],1610612754.0,IND,,,,Holiday,J. Holiday,,,,,,,,,,,,,,,,,,,,,,,,,
319,PT10M13.00S,2022-01-11T01:50:43.4Z,3,REGULAR,3pt,Jump Shot,"['fromturnover', 'fastbreak']",1626208,92.06636005256242,3.6764705882352944,1610612754,44,44,2022-01-11T01:50:50Z,3140000,-232.0,22.0,1,right,K. Sykes 3PT  (7 PTS) (D. Washington Jr. 2 AST),"[1626208, 1630613]",1610612754.0,IND,,,,Sykes,K. Sykes,,,,,23.27,Made,7.0,,,,,,,,,,,D. Washington Jr.,1630613.0,2.0,,,,,
321,PT09M52.00S,2022-01-11T01:51:04.2Z,3,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1627759,8.804204993429698,57.13082107843137,1610612738,44,44,2022-01-11T01:51:52Z,3160000,-36.0,30.0,1,left,MISS J. Brown floating Shot,[1627759],1610612738.0,BOS,floating,,,Brown,J. Brown,,,,,4.68,Missed,,,,,,,,,,,,,,,,,,,
322,PT09M49.00S,2022-01-11T01:51:07.2Z,3,REGULAR,rebound,offensive,[],1627759,,,1610612738,44,44,2022-01-11T01:51:17Z,3170000,,,0,,J. Brown REBOUND (Off:1 Def:6),[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,,,,,,,321.0,7.0,6.0,1.0,,,,,,,,,,,
323,PT09M49.00S,2022-01-11T01:51:07.8Z,3,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1627759,5.913272010512484,52.47778799019608,1610612738,46,44,2022-01-11T01:51:23Z,3180000,-12.0,3.0,1,left,J. Brown putback Layup (10 PTS),[1627759],1610612738.0,BOS,putback,,,Brown,J. Brown,,,,,1.28,Made,10.0,,,,,,,,,,,,,,,,,,
324,PT09M32.00S,2022-01-11T01:51:24.5Z,3,REGULAR,turnover,bad pass,[],203200,,,1610612754,46,44,2022-01-11T01:51:32Z,3190000,,,0,,J. Holiday bad pass TURNOVER (3 TO),"[203200, 203935]",1610612754.0,IND,,,,Holiday,J. Holiday,,,,,,,,,,,,,,,,,3.0,,,,Smart,203935.0,,,
325,PT09M32.00S,2022-01-11T01:51:24.5Z,3,REGULAR,steal,,[],203935,,,1610612738,46,44,2022-01-11T01:51:27Z,3200000,,,0,,M. Smart STEAL (1 STL),[203935],1610612738.0,BOS,,,,Smart,M. Smart,,,,,,,,,,,,,,,,,,,,,,,,,
326,PT09M29.00S,2022-01-11T01:51:27.8Z,3,REGULAR,2pt,DUNK,"['pointsinthepaint', 'fromturnover', 'fastbreak']",203935,6.652431011826544,47.794117647058826,1610612738,48,44,2022-01-11T01:51:40Z,3210000,11.0,10.0,1,left,M. Smart running DUNK (11 PTS),[203935],1610612738.0,BOS,running,,,Smart,M. Smart,,,,,1.49,Made,11.0,,,,,,,,,,,,,,,,,,
327,PT09M15.00S,2022-01-11T01:51:44.5Z,3,REGULAR,foul,personal,[],203935,,,1610612754,48,44,2022-01-11T01:51:54Z,3220000,,,0,,M. Smart personal FOUL (2 PF),"[203935, 1626167]",1610612738.0,BOS,,,,Smart,M. Smart,,,,,,,,202007.0,2.0,0.0,,,,,Turner,1626167.0,,,,,,,,,
329,PT09M09.00S,2022-01-11T01:52:10.1Z,3,REGULAR,2pt,Jump Shot,[],1626208,78.84362680683311,66.44454656862744,1610612754,48,46,2022-01-11T01:52:17Z,3240000,82.0,146.0,1,right,K. Sykes 16' pullup Jump Shot (9 PTS),[1626208],1610612754.0,IND,pullup,,,Sykes,K. Sykes,,,,,16.79,Made,9.0,,,,,,,,,,,,,,,,,,
330,PT08M55.00S,2022-01-11T01:52:22.8Z,3,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1627759,9.806176084099869,60.5392156862745,1610612738,48,46,2022-01-11T01:52:59Z,3250000,-53.0,40.0,1,left,MISS J. Brown 6' bank Shot,[1627759],1610612738.0,BOS,bank,,,Brown,J. Brown,,,,,6.6,Missed,,,,,,,,,,,,,,,,,,,
331,PT08M53.00S,2022-01-11T01:52:24.8Z,3,REGULAR,rebound,defensive,[],1627734,,,1610612754,48,46,2022-01-11T01:52:30Z,3260000,,,0,,D. Sabonis REBOUND (Off:2 Def:6),[1627734],1610612754.0,IND,,,,Sabonis,D. Sabonis,,,,,,,,,,,330.0,8.0,6.0,2.0,,,,,,,,,,,
332,PT08M42.00S,2022-01-11T01:52:36.2Z,3,REGULAR,turnover,lost ball,[],1627734,,,1610612754,48,46,2022-01-11T01:52:41Z,3270000,,,0,,D. Sabonis lost ball TURNOVER (2 TO),"[1627734, 1629057]",1610612754.0,IND,,,,Sabonis,D. Sabonis,,,,,,,,,,,,,,,,,2.0,,,,Williams III,1629057.0,,,
333,PT08M42.00S,2022-01-11T01:52:36.2Z,3,REGULAR,steal,,[],1629057,,,1610612738,48,46,2022-01-11T01:52:38Z,3280000,,,0,,R. Williams III STEAL (2 STL),[1629057],1610612738.0,BOS,,,,Williams III,R. Williams III,,,,,,,,,,,,,,,,,,,,,,,,,
334,PT08M36.00S,2022-01-11T01:52:43.6Z,3,REGULAR,foul,personal,['2freethrow'],1626208,,,1610612738,48,46,2022-01-11T01:52:55Z,3290000,,,0,,K. Sykes shooting personal FOUL (2 PF) (Tatum 2 FT),"[1626208, 1628369]",1610612754.0,IND,shooting,,,Sykes,K. Sykes,,,,,,,,202007.0,2.0,0.0,,,,,Tatum,1628369.0,,,,,,,,,
336,PT08M36.00S,2022-01-11T01:53:10.1Z,3,REGULAR,freethrow,1 of 2,['fromturnover'],1628369,,,1610612738,49,46,2022-01-11T01:53:10Z,3310000,,,0,,J. Tatum Free Throw 1 of 2 (10 PTS),[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,Made,10.0,,,,,,,,,,,,,,,,,,
337,PT08M36.00S,2022-01-11T01:53:25.0Z,3,REGULAR,freethrow,2 of 2,['fromturnover'],1628369,,,1610612738,50,46,2022-01-11T01:53:25Z,3320000,,,0,,J. Tatum Free Throw 2 of 2 (11 PTS),[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,Made,11.0,,,,,,,,,,,,,,,,,,
338,PT08M24.00S,2022-01-11T01:53:38.4Z,3,REGULAR,2pt,Layup,['pointsinthepaint'],1626208,92.90407358738501,57.13082107843137,1610612754,50,48,2022-01-11T01:53:48Z,3330000,36.0,14.0,1,right,K. Sykes driving finger roll Layup (11 PTS) (D. Sabonis 2 AST),"[1626208, 1627734]",1610612754.0,IND,driving finger roll,,,Sykes,K. Sykes,,,,,3.84,Made,11.0,,,,,,,,,,,D. Sabonis,1627734.0,2.0,,,,,
340,PT08M13.00S,2022-01-11T01:53:50.3Z,3,REGULAR,2pt,Hook,['pointsinthepaint'],1628369,12.483574244415244,39.50674019607843,1610612738,50,48,2022-01-11T01:54:02Z,3350000,52.0,65.0,1,left,MISS J. Tatum 8' turnaround Hook - blocked,"[1628369, 1626167]",1610612738.0,BOS,turnaround,,,Tatum,J. Tatum,,,,,8.34,Missed,,,,,,,,,,,,,,,,,Turner,1626167.0,
341,PT08M13.00S,2022-01-11T01:53:50.3Z,3,REGULAR,block,,[],1626167,,,1610612738,50,48,2022-01-11T01:53:52Z,3360000,,,0,,M. Turner BLOCK (3 BLK),[1626167],1610612754.0,IND,,,,Turner,M. Turner,,,,,,,,,,,,,,,,,,,,,,,,,
342,PT08M09.00S,2022-01-11T01:53:54.3Z,3,REGULAR,rebound,defensive,[],1627734,,,1610612754,50,48,2022-01-11T01:54:02Z,3370000,,,0,,D. Sabonis REBOUND (Off:2 Def:7),[1627734],1610612754.0,IND,,,,Sabonis,D. Sabonis,,,,,,,,,,,340.0,9.0,7.0,2.0,,,,,,,,,,,
343,PT08M07.00S,2022-01-11T01:53:57.3Z,3,REGULAR,2pt,Layup,"['fastbreak', 'pointsinthepaint']",203200,91.80354796320631,44.85294117647059,1610612754,50,48,2022-01-11T01:54:15Z,3380000,-26.0,25.0,1,right,MISS J. Holiday Layup,[203200],1610612754.0,IND,,,,Holiday,J. Holiday,,,,,3.55,Missed,,,,,,,,,,,,,,,,,,,
344,PT08M05.00S,2022-01-11T01:53:59.3Z,3,REGULAR,rebound,offensive,[],1627734,,,1610612754,50,48,2022-01-11T01:54:15Z,3390000,,,0,,D. Sabonis REBOUND (Off:3 Def:7),[1627734],1610612754.0,IND,,,,Sabonis,D. Sabonis,,,,,,,,,,,343.0,10.0,7.0,3.0,,,,,,,,,,,
346,PT08M05.00S,2022-01-11T01:54:14.2Z,3,REGULAR,foul,personal,[],1627759,,,1610612754,50,48,2022-01-11T01:54:24Z,3410000,,,0,,J. Brown personal FOUL (1 PF),"[1627759, 1627734]",1610612738.0,BOS,,,,Brown,J. Brown,,,,,,,,202007.0,1.0,0.0,,,,,Sabonis,1627734.0,,,,,,,,,
348,PT08M05.00S,2022-01-11T01:54:23.8Z,3,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612754,50,48,2022-01-11T01:54:23Z,3430000,,,0,,BOS Timeout,[],1610612738.0,BOS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
