actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,turnoverTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,stealPlayerName,stealPersonId
348,PT00M38.20S,2024-10-27T00:12:22.3Z,2,REGULAR,3pt,Jump Shot,[],1626179,26.10052562417871,16.42156862745098,1610612748,47,56,2024-10-27T00:12:26Z,3430000,False,168.0,193.0,1,left,T. Rozier 25' 3PT  (9 PTS) (N. Jović 4 AST),"[1626179, 1631107]",1610612748.0,MIA,,,,Rozier,T. Rozier,,,,,Above the Break 3,24+ Right Center,25.57,Made,,,,,,,,,,,,,9.0,N. Jović,1631107.0,4.0,,
350,PT00M31.70S,2024-10-27T00:12:32.1Z,2,REGULAR,3pt,Jump Shot,[],1630163,64.99671484888306,9.558823529411764,1610612766,47,56,2024-10-27T00:12:39Z,3450000,False,-202.0,277.0,1,right,MISS L. Ball 34' pullup 3PT,[1630163],1610612766.0,CHA,pullup,,,Ball,L. Ball,,,,,Above the Break 3,24+ Left Center,34.25,Missed,,,,,,,,,,,,,,,,,,
351,PT00M31.60S,2024-10-27T00:12:34.6Z,2,REGULAR,rebound,offensive,['team'],0,,,1610612766,47,56,2024-10-27T00:12:34Z,3460000,False,,,0,,TEAM offensive REBOUND,[],1610612766.0,CHA,,,,,,,,,,Above the Break 3,24+ Left Center,,,350.0,,,,,,,,,,,,,,,,,
353,PT00M31.60S,2024-10-27T00:13:01.2Z,2,REGULAR,foul,personal,"['inpenalty', '1freethrow']",1629639,,,1610612766,47,56,2024-10-27T00:13:25Z,3480000,False,,,0,,T. Herro away-from-play personal FOUL (2 PF) (Curry 1 FT),"[1629639, 203552]",1610612748.0,MIA,away-from-play,,,Herro,T. Herro,,,,,Above the Break 3,24+ Center,,,,,,,,202026.0,2.0,0.0,Curry,203552.0,,,,,,,,
355,PT00M31.60S,2024-10-27T00:13:26.8Z,2,REGULAR,freethrow,1 of 1,['2ndchance'],1630163,,,1610612766,48,56,2024-10-27T00:13:45Z,3500000,False,,,0,,L. Ball away-from-play Free Throw 1 of 1 (10 PTS),[1630163],1610612766.0,CHA,away-from-play,,,Ball,L. Ball,,,,,,,,Made,,,,,,,,,,,,,10.0,,,,,
356,PT00M30.00S,2024-10-27T00:13:34.1Z,2,REGULAR,2pt,Jump Shot,['2ndchance'],1629684,90.3580814717477,80.14705882352942,1610612766,48,56,2024-10-27T00:13:39Z,3510000,False,151.0,38.0,1,right,MISS G. Williams 15' Jump Shot,[1629684],1610612766.0,CHA,,,,Williams,G. Williams,,,,,Mid-Range,8-16 Right,15.54,Missed,,,,,,,,,,,,,,,,,,
357,PT00M26.00S,2024-10-27T00:13:38.1Z,2,REGULAR,rebound,defensive,[],1629639,,,1610612748,48,56,2024-10-27T00:13:39Z,3520000,False,,,0,,T. Herro REBOUND (Off:0 Def:3),[1629639],1610612748.0,MIA,,,,Herro,T. Herro,,,,,Mid-Range,8-16 Right,,,356.0,3.0,3.0,0.0,,,,,,,,,,,,,,
358,PT00M03.90S,2024-10-27T00:14:00.0Z,2,REGULAR,3pt,Jump Shot,[],1629639,19.267411300919843,4.411764705882353,1610612748,48,56,2024-10-27T00:14:08Z,3530000,False,228.0,129.0,1,left,MISS T. Herro 26' fadeaway 3PT,[1629639],1610612748.0,MIA,fadeaway,,,Herro,T. Herro,,,,,Above the Break 3,24+ Right Center,26.17,Missed,,,,,,,,,,,,,,,,,,
359,PT00M00.50S,2024-10-27T00:14:03.4Z,2,REGULAR,rebound,defensive,[],1630208,,,1610612766,48,56,2024-10-27T00:14:08Z,3540000,False,,,0,,N. Richards REBOUND (Off:3 Def:5),[1630208],1610612766.0,CHA,,,,Richards,N. Richards,,,,,Above the Break 3,24+ Right Center,,,358.0,8.0,5.0,3.0,,,,,,,,,,,,,,
360,PT00M00.00S,2024-10-27T00:14:32.9Z,2,REGULAR,period,end,[],0,,,1610612766,48,56,2024-10-27T00:14:32Z,3550000,False,,,0,,Period End,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
361,PT12M00.00S,2024-10-27T00:29:04.0Z,3,REGULAR,substitution,out,['startperiod'],1629684,,,1610612766,48,56,2024-10-27T00:29:33Z,3560000,False,,,0,,SUB out: G. Williams,[1629684],1610612766.0,CHA,,,,Williams,G. Williams,,,,,,,,,,,,,,,,,,,,,,,,,,
362,PT12M00.00S,2024-10-27T00:29:04.0Z,3,REGULAR,substitution,out,['startperiod'],1630544,,,1610612766,48,56,2024-10-27T00:29:33Z,3570000,False,,,0,,SUB out: T. Mann,[1630544],1610612766.0,CHA,,,,Mann,T. Mann,,,,,,,,,,,,,,,,,,,,,,,,,,
363,PT12M00.00S,2024-10-27T00:29:04.0Z,3,REGULAR,substitution,in,['startperiod'],1628970,,,1610612766,48,56,2024-10-27T00:29:33Z,3580000,False,,,0,,SUB in: M. Bridges,[1628970],1610612766.0,CHA,,,,Bridges,M. Bridges,,,,,,,,,,,,,,,,,,,,,,,,,,
364,PT12M00.00S,2024-10-27T00:29:04.0Z,3,REGULAR,substitution,in,['startperiod'],1628998,,,1610612766,48,56,2024-10-27T00:29:33Z,3590000,False,,,0,,SUB in: C. Martin,[1628998],1610612766.0,CHA,,,,Martin,C. Martin,,,,,,,,,,,,,,,,,,,,,,,,,,
365,PT12M00.00S,2024-10-27T00:29:45.6Z,3,REGULAR,period,start,[],0,,,1610612748,48,56,2024-10-27T00:29:45Z,3600000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
366,PT11M46.00S,2024-10-27T00:29:58.9Z,3,REGULAR,2pt,Layup,['pointsinthepaint'],202710,92.72339027595268,52.69607843137255,1610612748,48,56,2024-10-27T00:30:04Z,3610000,False,13.0,16.0,1,right,MISS J. Butler driving Layup,[202710],1610612748.0,MIA,driving,,,Butler,J. Butler,,,,,Restricted Area,0-8 Center,2.09,Missed,,,,,,,,,,,,,,,,,,
367,PT11M43.00S,2024-10-27T00:30:01.9Z,3,REGULAR,rebound,defensive,[],1630208,,,1610612766,48,56,2024-10-27T00:30:04Z,3620000,False,,,0,,N. Richards REBOUND (Off:3 Def:6),[1630208],1610612766.0,CHA,,,,Richards,N. Richards,,,,,Restricted Area,0-8 Center,,,366.0,9.0,6.0,3.0,,,,,,,,,,,,,,
368,PT11M29.00S,2024-10-27T00:30:21.5Z,3,REGULAR,violation,kicked ball,[],1629639,,,1610612766,48,56,2024-10-27T00:30:27Z,3630000,False,,,0,,T. Herro kicked ball VIOLATION,[1629639],1610612748.0,MIA,,,,Herro,T. Herro,,,,,,,,,,,,,,1626300.0,,,,,,,,,,,,
369,PT11M25.00S,2024-10-27T00:30:45.1Z,3,REGULAR,turnover,bad pass,[],1630163,,,1610612766,48,56,2024-10-27T00:30:52Z,3640000,False,,,0,,L. Ball bad pass TURNOVER (2 TO),"[1630163, 1628389]",1610612766.0,CHA,,,,Ball,L. Ball,,,,,Above the Break 3,24+ Right Center,,,,,,,2.0,,,,,,,,,,,,Adebayo,1628389.0
370,PT11M25.00S,2024-10-27T00:30:45.1Z,3,REGULAR,steal,,[],1628389,,,1610612748,48,56,2024-10-27T00:30:51Z,3650000,False,,,0,,B. Adebayo STEAL (1 STL),[1628389],1610612748.0,MIA,,,,Adebayo,B. Adebayo,,,,,Above the Break 3,24+ Right Center,,,,,,,,,,,,,,,,,,,,
371,PT11M15.00S,2024-10-27T00:30:54.3Z,3,REGULAR,3pt,Jump Shot,['fromturnover'],1631107,74.19513797634691,12.5,1610612748,48,56,2024-10-27T00:30:58Z,3660000,False,-188.0,190.0,1,right,MISS N. Jović 26' 3PT,[1631107],1610612748.0,MIA,,,,Jović,N. Jović,,,,,Above the Break 3,24+ Left Center,26.7,Missed,,,,,,,,,,,,,,,,,,
372,PT11M12.00S,2024-10-27T00:30:57.3Z,3,REGULAR,rebound,defensive,[],203552,,,1610612766,48,56,2024-10-27T00:30:58Z,3670000,False,,,0,,S. Curry REBOUND (Off:2 Def:1),[203552],1610612766.0,CHA,,,,Curry,S. Curry,,,,,Above the Break 3,24+ Left Center,,,371.0,3.0,1.0,2.0,,,,,,,,,,,,,,
373,PT11M02.00S,2024-10-27T00:31:10.5Z,3,REGULAR,2pt,Layup,['pointsinthepaint'],1630208,12.171484888304862,41.911764705882355,1610612766,48,56,2024-10-27T00:31:26Z,3680000,False,40.0,62.0,1,left,MISS N. Richards 7' Layup - blocked,"[1630208, 202710]",1610612766.0,CHA,,,,Richards,N. Richards,,,,,In The Paint (Non-RA),0-8 Center,7.39,Missed,,,,,,,,,,,Butler,202710.0,,,,,,
374,PT11M02.00S,2024-10-27T00:31:10.5Z,3,REGULAR,block,,[],202710,,,1610612766,48,56,2024-10-27T00:31:14Z,3690000,False,,,0,,J. Butler BLOCK (1 BLK),[202710],1610612748.0,MIA,,,,Butler,J. Butler,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
375,PT11M02.00S,2024-10-27T00:31:10.5Z,3,REGULAR,rebound,offensive,['team'],0,,,1610612766,48,56,2024-10-27T00:31:26Z,3700000,False,,,0,,TEAM offensive REBOUND,[],1610612766.0,CHA,,,,,,,,,,In The Paint (Non-RA),0-8 Center,,,373.0,,,,,,,,,,,,,,,,,
377,PT11M01.00S,2024-10-27T00:31:29.8Z,3,REGULAR,turnover,out-of-bounds,[],1630163,,,1610612766,48,56,2024-10-27T00:31:37Z,3720000,False,,,0,,L. Ball bad pass out-of-bounds TURNOVER (3 TO),[1630163],1610612766.0,CHA,bad pass,,,Ball,L. Ball,,,,,Above the Break 3,24+ Right Center,,,,,,,3.0,202026.0,,,,,,,,,,,,
378,PT10M49.00S,2024-10-27T00:31:45.0Z,3,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fromturnover']",1628389,82.21090670170827,38.970588235294116,1610612748,48,58,2024-10-27T00:31:49Z,3730000,False,-55.0,115.0,1,right,B. Adebayo 12' Jump Shot (6 PTS) (T. Herro 2 AST),"[1628389, 1629639]",1610612748.0,MIA,,,,Adebayo,B. Adebayo,,,,,In The Paint (Non-RA),8-16 Center,12.72,Made,,,,,,,,,,,,,6.0,T. Herro,1629639.0,2.0,,
380,PT10M31.00S,2024-10-27T00:32:02.3Z,3,REGULAR,3pt,Jump Shot,[],1628998,7.966491458607096,95.58823529411765,1610612766,48,58,2024-10-27T00:32:06Z,3750000,False,-228.0,22.0,1,left,MISS C. Martin 3PT,[1628998],1610612766.0,CHA,,,,Martin,C. Martin,,,,,Left Corner 3,24+ Left,22.9,Missed,,,,,,,,,,,,,,,,,,
381,PT10M28.00S,2024-10-27T00:32:05.3Z,3,REGULAR,rebound,defensive,[],1626179,,,1610612748,48,58,2024-10-27T00:32:06Z,3760000,False,,,0,,T. Rozier REBOUND (Off:0 Def:3),[1626179],1610612748.0,MIA,,,,Rozier,T. Rozier,,,,,Left Corner 3,24+ Left,,,380.0,3.0,3.0,0.0,,,,,,,,,,,,,,
382,PT10M21.00S,2024-10-27T00:32:13.8Z,3,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628389,86.5473061760841,46.32352941176471,1610612748,48,58,2024-10-27T00:34:37Z,3770000,False,-18.0,74.0,1,right,MISS B. Adebayo 7' step back Shot,[1628389],1610612748.0,MIA,step back,,,Adebayo,B. Adebayo,,,,,In The Paint (Non-RA),0-8 Center,7.63,Missed,,,,,,,,,,,,,,,,,,
383,PT10M18.00S,2024-10-27T00:32:16.8Z,3,REGULAR,rebound,defensive,[],203552,,,1610612766,48,58,2024-10-27T00:32:17Z,3780000,False,,,0,,S. Curry REBOUND (Off:2 Def:2),[203552],1610612766.0,CHA,,,,Curry,S. Curry,,,,,In The Paint (Non-RA),0-8 Center,,,382.0,4.0,2.0,2.0,,,,,,,,,,,,,,
384,PT10M12.00S,2024-10-27T00:32:22.2Z,3,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",1628998,5.338370565045992,45.34313725490196,1610612766,50,58,2024-10-27T00:32:28Z,3790000,False,23.0,-2.0,1,left,C. Martin running Layup (2 PTS),[1628998],1610612766.0,CHA,running,,,Martin,C. Martin,,,,,Restricted Area,0-8 Center,2.34,Made,,,,,,,,,,,,,2.0,,,,,
385,PT09M56.00S,2024-10-27T00:32:37.5Z,3,REGULAR,2pt,Layup,['pointsinthepaint'],1629639,89.70105124835742,49.754901960784316,1610612748,50,58,2024-10-27T00:32:44Z,3800000,False,-1.0,44.0,1,right,MISS T. Herro driving Layup - blocked,"[1629639, 1630208]",1610612748.0,MIA,driving,,,Herro,T. Herro,,,,,In The Paint (Non-RA),0-8 Center,4.43,Missed,,,,,,,,,,,Richards,1630208.0,,,,,,
386,PT09M56.00S,2024-10-27T00:32:37.5Z,3,REGULAR,block,,[],1630208,,,1610612748,50,58,2024-10-27T00:32:40Z,3810000,False,,,0,,N. Richards BLOCK (2 BLK),[1630208],1610612766.0,CHA,,,,Richards,N. Richards,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
387,PT09M53.00S,2024-10-27T00:32:40.5Z,3,REGULAR,rebound,offensive,[],202710,,,1610612748,50,58,2024-10-27T00:32:44Z,3820000,False,,,0,,J. Butler REBOUND (Off:2 Def:3),[202710],1610612748.0,MIA,,,,Butler,J. Butler,,,,,In The Paint (Non-RA),0-8 Center,,,385.0,5.0,3.0,2.0,,,,,,,,,,,,,,
388,PT09M49.00S,2024-10-27T00:32:46.0Z,3,REGULAR,foul,personal,['3freethrow'],1628998,,,1610612748,50,58,2024-10-27T00:33:11Z,3830000,False,,,0,,C. Martin shooting personal FOUL (3 PF) (Herro 3 FT),"[1628998, 1629639]",1610612766.0,CHA,shooting,,,Martin,C. Martin,,,,,Above the Break 3,24+ Right Center,,,,,,,,1626300.0,3.0,0.0,Herro,1629639.0,,,,,,,,
390,PT09M49.00S,2024-10-27T00:33:20.0Z,3,REGULAR,freethrow,1 of 3,['2ndchance'],1629639,,,1610612748,50,59,2024-10-27T00:33:20Z,3850000,False,,,0,,T. Herro Free Throw 1 of 3 (14 PTS),[1629639],1610612748.0,MIA,,,,Herro,T. Herro,,,,,,,,Made,,,,,,,,,,,,,14.0,,,,,
391,PT09M49.00S,2024-10-27T00:33:35.7Z,3,REGULAR,freethrow,2 of 3,['2ndchance'],1629639,,,1610612748,50,60,2024-10-27T00:33:35Z,3860000,False,,,0,,T. Herro Free Throw 2 of 3 (15 PTS),[1629639],1610612748.0,MIA,,,,Herro,T. Herro,,,,,,,,Made,,,,,,,,,,,,,15.0,,,,,
392,PT09M49.00S,2024-10-27T00:33:53.9Z,3,REGULAR,freethrow,3 of 3,['2ndchance'],1629639,,,1610612748,50,61,2024-10-27T00:33:53Z,3870000,False,,,0,,T. Herro Free Throw 3 of 3 (16 PTS),[1629639],1610612748.0,MIA,,,,Herro,T. Herro,,,,,,,,Made,,,,,,,,,,,,,16.0,,,,,
393,PT09M38.00S,2024-10-27T00:34:10.4Z,3,REGULAR,2pt,Jump Shot,['pointsinthepaint'],203552,17.95335085413929,40.19607843137255,1610612766,52,61,2024-10-27T00:34:14Z,3880000,False,49.0,116.0,1,left,S. Curry 12' Jump Shot (15 PTS) (C. Martin 1 AST),"[203552, 1628998]",1610612766.0,CHA,,,,Curry,S. Curry,,,,,In The Paint (Non-RA),8-16 Center,12.62,Made,,,,,,,,,,,,,15.0,C. Martin,1628998.0,1.0,,
395,PT09M26.00S,2024-10-27T00:34:21.9Z,3,REGULAR,2pt,Layup,['pointsinthepaint'],1626179,92.32917214191852,53.18627450980392,1610612748,52,61,2024-10-27T00:34:28Z,3900000,False,16.0,20.0,1,right,MISS T. Rozier driving Layup,[1626179],1610612748.0,MIA,driving,,,Rozier,T. Rozier,,,,,Restricted Area,0-8 Center,2.52,Missed,,,,,,,,,,,,,,,,,,
396,PT09M24.00S,2024-10-27T00:34:23.9Z,3,REGULAR,rebound,offensive,[],1628389,,,1610612748,52,61,2024-10-27T00:34:23Z,3910000,False,,,0,,B. Adebayo REBOUND (Off:3 Def:5),[1628389],1610612748.0,MIA,,,,Adebayo,B. Adebayo,,,,,Restricted Area,0-8 Center,,,395.0,8.0,5.0,3.0,,,,,,,,,,,,,,
397,PT09M22.00S,2024-10-27T00:34:31.0Z,3,REGULAR,foul,personal,[],1628998,,,1610612748,52,61,2024-10-27T00:34:49Z,3920000,False,,,0,,C. Martin personal FOUL (4 PF),"[1628998, 202710]",1610612766.0,CHA,,,,Martin,C. Martin,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,202026.0,4.0,0.0,Butler,202710.0,,,,,,,,
399,PT09M16.00S,2024-10-27T00:34:56.5Z,3,REGULAR,3pt,Jump Shot,['2ndchance'],1628389,66.44218134034165,50.49019607843137,1610612748,52,61,2024-10-27T00:35:05Z,3940000,False,2.0,263.0,1,right,MISS B. Adebayo 26' 3PT,[1628389],1610612748.0,MIA,,,,Adebayo,B. Adebayo,,,,,Above the Break 3,24+ Center,26.29,Missed,,,,,,,,,,,,,,,,,,
400,PT09M14.00S,2024-10-27T00:34:58.9Z,3,REGULAR,rebound,defensive,[],1630163,,,1610612766,52,61,2024-10-27T00:34:58Z,3950000,False,,,0,,L. Ball REBOUND (Off:2 Def:3),[1630163],1610612766.0,CHA,,,,Ball,L. Ball,,,,,Above the Break 3,24+ Center,,,399.0,5.0,3.0,2.0,,,,,,,,,,,,,,
401,PT09M09.00S,2024-10-27T00:35:11.6Z,3,REGULAR,foul,personal,['2freethrow'],1626179,,,1610612766,52,61,2024-10-27T00:35:28Z,3960000,False,,,0,,T. Rozier shooting personal FOUL (2 PF) (Richards 2 FT),"[1626179, 1630208]",1610612748.0,MIA,shooting,,,Rozier,T. Rozier,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,202026.0,2.0,0.0,Richards,1630208.0,,,,,,,,
403,PT09M09.00S,2024-10-27T00:35:39.3Z,3,REGULAR,freethrow,1 of 2,[],1630208,,,1610612766,53,61,2024-10-27T00:36:50Z,3980000,False,,,0,,N. Richards Free Throw 1 of 2 (5 PTS),[1630208],1610612766.0,CHA,,,,Richards,N. Richards,,,,,,,,Made,,,,,,,,,,,,,5.0,,,,,
404,PT09M09.00S,2024-10-27T00:35:41.7Z,3,REGULAR,substitution,out,[],1628998,,,1610612766,53,61,2024-10-27T00:35:47Z,3990000,False,,,0,,SUB out: C. Martin,[1628998],1610612766.0,CHA,,,,Martin,C. Martin,,,,,,,,,,,,,,,,,,,,,,,,,,
405,PT09M09.00S,2024-10-27T00:35:41.7Z,3,REGULAR,substitution,in,[],1630544,,,1610612766,53,61,2024-10-27T00:35:47Z,4000000,False,,,0,,SUB in: T. Mann,[1630544],1610612766.0,CHA,,,,Mann,T. Mann,,,,,,,,,,,,,,,,,,,,,,,,,,
406,PT09M09.00S,2024-10-27T00:35:39.3Z,3,REGULAR,freethrow,2 of 2,[],1630208,,,1610612766,54,61,2024-10-27T00:36:50Z,4010000,False,,,0,,N. Richards Free Throw 2 of 2 (6 PTS),[1630208],1610612766.0,CHA,,,,Richards,N. Richards,,,,,,,,Made,,,,,,,,,,,,,6.0,,,,,
407,PT08M53.00S,2024-10-27T00:36:26.1Z,3,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1629639,85.89027595269383,42.64705882352941,1610612748,54,61,2024-10-27T00:36:34Z,4020000,False,-37.0,80.0,1,right,MISS T. Herro 8' pullup Shot,[1629639],1610612748.0,MIA,pullup,,,Herro,T. Herro,,,,,In The Paint (Non-RA),8-16 Center,8.81,Missed,,,,,,,,,,,,,,,,,,
408,PT08M51.00S,2024-10-27T00:36:28.1Z,3,REGULAR,rebound,defensive,[],1630208,,,1610612766,54,61,2024-10-27T00:36:34Z,4030000,False,,,0,,N. Richards REBOUND (Off:3 Def:7),[1630208],1610612766.0,CHA,,,,Richards,N. Richards,,,,,In The Paint (Non-RA),8-16 Center,,,407.0,10.0,7.0,3.0,,,,,,,,,,,,,,
409,PT08M45.00S,2024-10-27T00:36:33.5Z,3,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",1630208,5.732588699080158,49.50980392156863,1610612766,56,61,2024-10-27T00:36:39Z,4040000,False,2.0,1.0,1,left,N. Richards running Layup (8 PTS) (L. Ball 3 AST),"[1630208, 1630163]",1610612766.0,CHA,running,,,Richards,N. Richards,,,,,Restricted Area,0-8 Center,0.29,Made,,,,,,,,,,,,,8.0,L. Ball,1630163.0,3.0,,
411,PT08M26.00S,2024-10-27T00:37:05.4Z,3,REGULAR,foul,personal,[],1630208,,,1610612748,56,61,2024-10-27T00:37:20Z,4060000,False,,,0,,N. Richards personal FOUL (2 PF),"[1630208, 1628389]",1610612766.0,CHA,,,,Richards,N. Richards,,,,,Restricted Area,0-8 Center,,,,,,,,1626300.0,2.0,0.0,Adebayo,1628389.0,,,,,,,,
413,PT08M18.00S,2024-10-27T00:37:27.0Z,3,REGULAR,foul,offensive,[],1629639,,,1610612748,56,61,2024-10-27T00:37:38Z,4080000,False,,,0,,T. Herro offensive FOUL (3 PF),"[1629639, 1630163]",1610612748.0,MIA,,,,Herro,T. Herro,,,,,Mid-Range,16-24 Center,,,,,,,,1626300.0,3.0,0.0,Ball,1630163.0,,,,,,,,
415,PT08M18.00S,2024-10-27T00:37:27.0Z,3,REGULAR,turnover,offensive foul,[],1629639,,,1610612748,56,61,2024-10-27T00:37:27Z,4100000,False,,,0,,T. Herro offensive foul TURNOVER (1 TO),[1629639],1610612748.0,MIA,,,,Herro,T. Herro,,,,,Mid-Range,16-24 Center,,,,,,,1.0,1626300.0,,,,,,,,,,,,
416,PT07M54.00S,2024-10-27T00:38:00.8Z,3,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",203552,10.068988173455978,44.36274509803921,1610612766,56,61,2024-10-27T00:38:05Z,4110000,False,28.0,42.0,1,left,MISS S. Curry driving Layup,[203552],1610612766.0,CHA,driving,,,Curry,S. Curry,,,,,In The Paint (Non-RA),0-8 Center,5.07,Missed,,,,,,,,,,,,,,,,,,
417,PT07M51.00S,2024-10-27T00:38:03.2Z,3,REGULAR,rebound,defensive,[],1628389,,,1610612748,56,61,2024-10-27T00:38:03Z,4120000,False,,,0,,B. Adebayo REBOUND (Off:3 Def:6),[1628389],1610612748.0,MIA,,,,Adebayo,B. Adebayo,,,,,In The Paint (Non-RA),0-8 Center,,,416.0,9.0,6.0,3.0,,,,,,,,,,,,,,
418,PT07M46.00S,2024-10-27T00:38:08.8Z,3,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",1631107,91.93495400788436,53.18627450980392,1610612748,56,61,2024-10-27T00:38:17Z,4130000,False,16.0,23.0,1,right,MISS N. Jović running Layup,[1631107],1610612748.0,MIA,running,,,Jović,N. Jović,,,,,Restricted Area,0-8 Center,2.82,Missed,,,,,,,,,,,,,,,,,,
419,PT07M41.00S,2024-10-27T00:38:13.7Z,3,REGULAR,rebound,offensive,[],202710,,,1610612748,56,61,2024-10-27T00:38:13Z,4140000,False,,,0,,J. Butler REBOUND (Off:3 Def:3),[202710],1610612748.0,MIA,,,,Butler,J. Butler,,,,,Restricted Area,0-8 Center,,,418.0,6.0,3.0,3.0,,,,,,,,,,,,,,
420,PT07M41.00S,2024-10-27T00:38:13.7Z,3,REGULAR,2pt,Layup,"['2ndchance', 'pointsinthepaint']",202710,94.40999984741211,50.0,1610612748,56,61,2024-10-27T00:39:22Z,4150000,False,0.0,0.0,1,right,MISS J. Butler putback Layup - blocked,"[202710, 1630208]",1610612748.0,MIA,putback,,,Butler,J. Butler,,,,,Restricted Area,0-8 Center,0.0,Missed,,,,,,,,,,,Richards,1630208.0,,,,,,
421,PT07M41.00S,2024-10-27T00:38:13.7Z,3,REGULAR,block,,[],1630208,,,1610612748,56,61,2024-10-27T00:38:15Z,4160000,False,,,0,,N. Richards BLOCK (3 BLK),[1630208],1610612766.0,CHA,,,,Richards,N. Richards,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
422,PT07M39.00S,2024-10-27T00:38:15.7Z,3,REGULAR,rebound,defensive,[],1628970,,,1610612766,56,61,2024-10-27T00:38:15Z,4170000,False,,,0,,M. Bridges REBOUND (Off:0 Def:2),[1628970],1610612766.0,CHA,,,,Bridges,M. Bridges,,,,,Mid-Range,8-16 Left,,,420.0,2.0,2.0,0.0,,,,,,,,,,,,,,
423,PT07M39.00S,2024-10-27T00:38:19.4Z,3,REGULAR,foul,personal,['2freethrow'],1628389,,,1610612766,56,61,2024-10-27T00:38:58Z,4180000,False,,,0,,B. Adebayo shooting personal FOUL (1 PF) (Bridges 2 FT),"[1628389, 1628970]",1610612748.0,MIA,shooting,,,Adebayo,B. Adebayo,,,,,Restricted Area,0-8 Center,,,,,,,,1626300.0,1.0,0.0,Bridges,1628970.0,,,,,,,,
425,PT07M39.00S,2024-10-27T00:39:00.0Z,3,REGULAR,freethrow,1 of 2,['fastbreak'],1628970,,,1610612766,57,61,2024-10-27T00:39:00Z,4200000,False,,,0,,M. Bridges Free Throw 1 of 2 (9 PTS),[1628970],1610612766.0,CHA,,,,Bridges,M. Bridges,,,,,,,,Made,,,,,,,,,,,,,9.0,,,,,
426,PT07M39.00S,2024-10-27T00:39:06.7Z,3,REGULAR,freethrow,2 of 2,['fastbreak'],1628970,,,1610612766,57,61,2024-10-27T00:39:06Z,4210000,False,,,0,,MISS M. Bridges Free Throw 2 of 2,[1628970],1610612766.0,CHA,,,,Bridges,M. Bridges,,,,,,,,Missed,,,,,,,,,,,,,,,,,,
427,PT07M35.00S,2024-10-27T00:39:09.0Z,3,REGULAR,rebound,defensive,[],1631107,,,1610612748,57,61,2024-10-27T00:39:09Z,4220000,False,,,0,,N. Jović REBOUND (Off:0 Def:1),[1631107],1610612748.0,MIA,,,,Jović,N. Jović,,,,,,,,,426.0,1.0,1.0,0.0,,,,,,,,,,,,,,
428,PT07M23.00S,2024-10-27T00:39:21.1Z,3,REGULAR,3pt,Jump Shot,[],1631107,90.48948751642575,95.09803921568627,1610612748,57,64,2024-10-27T00:39:25Z,4230000,False,225.0,37.0,1,right,N. Jović 3PT  (10 PTS) (T. Herro 3 AST),"[1631107, 1629639]",1610612748.0,MIA,,,,Jović,N. Jović,,,,,Right Corner 3,24+ Right,22.85,Made,,,,,,,,,,,,,10.0,T. Herro,1629639.0,3.0,,
430,PT07M12.00S,2024-10-27T00:39:32.7Z,3,REGULAR,3pt,Jump Shot,[],1630163,21.23850197109067,89.2156862745098,1610612766,60,64,2024-10-27T00:41:13Z,4250000,False,-196.0,147.0,1,left,L. Ball 24' 3PT step back (13 PTS),[1630163],1610612766.0,CHA,step back,,,Ball,L. Ball,,,,,Above the Break 3,24+ Left Center,24.51,Made,,,,,,,,,,,,,13.0,,,,,
