actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId,pointsTotal,officialId,turnoverTotal,assistPlayerNameInitial,assistPersonId,assistTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,stealPlayerName,stealPersonId
341,PT12M00.00S,2024-01-24T02:19:18.2Z,3,REGULAR,substitution,out,['startperiod'],1641718,,,1610612740,77,59,2024-01-24T02:19:43Z,3350000,False,,,0,,SUB out: K. George,[1641718],1610612762.0,UTA,,,,George,K. George,,,,,,,,,,,,,,,,,,,,,,,,,,
342,PT12M00.00S,2024-01-24T02:19:18.2Z,3,REGULAR,substitution,in,['startperiod'],1626204,,,1610612740,77,59,2024-01-24T02:19:43Z,3360000,False,,,0,,SUB in: L. Nance Jr.,[1626204],1610612740.0,NOP,,,,Nance Jr.,L. Nance Jr.,,,,,,,,,,,,,,,,,,,,,,,,,,
343,PT12M00.00S,2024-01-24T02:19:18.2Z,3,REGULAR,substitution,in,['startperiod'],1630529,,,1610612740,77,59,2024-01-24T02:19:43Z,3370000,False,,,0,,SUB in: H. Jones,[1630529],1610612740.0,NOP,,,,Jones,H. Jones,,,,,,,,,,,,,,,,,,,,,,,,,,
344,PT12M00.00S,2024-01-24T02:19:18.2Z,3,REGULAR,substitution,in,['startperiod'],1627739,,,1610612740,77,59,2024-01-24T02:19:43Z,3380000,False,,,0,,SUB in: K. Dunn,[1627739],1610612762.0,UTA,,,,Dunn,K. Dunn,,,,,,,,,,,,,,,,,,,,,,,,,,
345,PT12M00.00S,2024-01-24T02:19:46.8Z,3,REGULAR,period,start,[],0,,,1610612762,77,59,2024-01-24T02:19:46Z,3390000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
346,PT11M42.00S,2024-01-24T02:20:08.9Z,3,REGULAR,3pt,Jump Shot,[],1631323,7.703679369250986,95.58823529411765,1610612762,77,62,2024-01-24T02:20:15Z,3400000,False,-228.0,20.0,1,left,S. Fontecchio 3PT  (12 PTS) (C. Sexton 3 AST),"[1631323, 1629012]",1610612762.0,UTA,,,,Fontecchio,S. Fontecchio,,,,,Left Corner 3,24+ Left,22.88,Made,,,,,,,12.0,,,C. Sexton,1629012.0,3.0,,,,,,
348,PT11M42.00S,2024-01-24T02:20:12.7Z,3,REGULAR,foul,personal,['1freethrow'],1629627,,,1610612762,77,62,2024-01-24T02:20:30Z,3420000,False,,,0,,Z. Williamson shooting personal FOUL (1 PF) (Fontecchio 1 FT),"[1629627, 1631323]",1610612740.0,NOP,shooting,,,Williamson,Z. Williamson,,,,,Left Corner 3,24+ Left,,,,,,,,,,1628954.0,,,,,1.0,0.0,Fontecchio,1631323.0,,
350,PT11M42.00S,2024-01-24T02:20:31.7Z,3,REGULAR,freethrow,1 of 1,[],1631323,,,1610612762,77,63,2024-01-24T02:20:31Z,3440000,False,,,0,,S. Fontecchio Free Throw 1 of 1 (13 PTS),[1631323],1610612762.0,UTA,,,,Fontecchio,S. Fontecchio,,,,,,,,Made,,,,,,,13.0,,,,,,,,,,,
351,PT11M23.00S,2024-01-24T02:20:51.3Z,3,REGULAR,3pt,Jump Shot,[],203468,89.70105124835742,95.83333333333334,1610612740,80,63,2024-01-24T02:20:55Z,3450000,False,229.0,44.0,1,right,C. McCollum 3PT  (20 PTS) (Z. Williamson 9 AST),"[203468, 1629627]",1610612740.0,NOP,,,,McCollum,C. McCollum,,,,,Right Corner 3,24+ Right,23.34,Made,,,,,,,20.0,,,Z. Williamson,1629627.0,9.0,,,,,,
353,PT11M01.00S,2024-01-24T02:21:13.5Z,3,REGULAR,2pt,Layup,['pointsinthepaint'],1628374,8.754927726675426,51.9607843137255,1610612762,80,63,2024-01-24T02:21:18Z,3470000,False,-10.0,30.0,1,left,MISS L. Markkanen driving Layup,[1628374],1610612762.0,UTA,driving,,,Markkanen,L. Markkanen,,,,,Restricted Area,0-8 Center,3.14,Missed,,,,,,,,,,,,,,,,,,
354,PT10M57.00S,2024-01-24T02:21:17.5Z,3,REGULAR,rebound,defensive,[],203468,,,1610612740,80,63,2024-01-24T02:26:30Z,3480000,False,,,0,,C. McCollum REBOUND (Off:1 Def:4),[203468],1610612740.0,NOP,,,,McCollum,C. McCollum,,,,,Restricted Area,0-8 Center,,,353.0,5.0,4.0,1.0,,,,,,,,,,,,,,
355,PT10M53.00S,2024-01-24T02:21:21.4Z,3,REGULAR,3pt,Jump Shot,['fastbreak'],203468,73.40670170827858,82.59803921568627,1610612740,80,63,2024-01-24T02:22:15Z,3490000,False,163.0,197.0,1,right,MISS C. McCollum 25' step back 3PT,[203468],1610612740.0,NOP,step back,,,McCollum,C. McCollum,,,,,Above the Break 3,24+ Right Center,25.61,Missed,,,,,,,,,,,,,,,,,,
356,PT10M49.00S,2024-01-24T02:21:24.2Z,3,REGULAR,rebound,defensive,[],1629012,,,1610612762,80,63,2024-01-24T02:21:24Z,3500000,False,,,0,,C. Sexton REBOUND (Off:0 Def:3),[1629012],1610612762.0,UTA,,,,Sexton,C. Sexton,,,,,Above the Break 3,24+ Right Center,,,355.0,3.0,3.0,0.0,,,,,,,,,,,,,,
357,PT10M47.00S,2024-01-24T02:21:26.4Z,3,REGULAR,2pt,DUNK,"['pointsinthepaint', 'fastbreak']",1628381,6.652431011826544,50.73529411764706,1610612762,80,65,2024-01-24T02:21:32Z,3510000,False,-4.0,10.0,1,left,J. Collins running DUNK (4 PTS) (C. Sexton 4 AST),"[1628381, 1629012]",1610612762.0,UTA,running,,,Collins,J. Collins,,,,,Restricted Area,0-8 Center,1.07,Made,,,,,,,4.0,,,C. Sexton,1629012.0,4.0,,,,,,
359,PT10M38.00S,2024-01-24T02:21:35.6Z,3,REGULAR,3pt,Jump Shot,[],1630529,76.82325886990802,11.27450980392157,1610612740,83,65,2024-01-24T02:21:40Z,3530000,False,-194.0,165.0,1,right,H. Jones 25' 3PT  (18 PTS) (Z. Williamson 10 AST),"[1630529, 1629627]",1610612740.0,NOP,,,,Jones,H. Jones,,,,,Above the Break 3,24+ Left Center,25.46,Made,,,,,,,18.0,,,Z. Williamson,1629627.0,10.0,,,,,,
361,PT10M22.00S,2024-01-24T02:21:51.5Z,3,REGULAR,3pt,Jump Shot,[],1631323,12.565703022339028,3.9215686274509802,1610612762,83,68,2024-01-24T02:21:55Z,3550000,False,230.0,66.0,1,left,S. Fontecchio 3PT  (16 PTS) (C. Sexton 5 AST),"[1631323, 1629012]",1610612762.0,UTA,,,,Fontecchio,S. Fontecchio,,,,,Right Corner 3,24+ Right,23.96,Made,,,,,,,16.0,,,C. Sexton,1629012.0,5.0,,,,,,
363,PT10M09.00S,2024-01-24T02:22:04.8Z,3,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1627742,81.15965834428384,40.68627450980392,1610612740,85,68,2024-01-24T02:22:09Z,3570000,False,-47.0,125.0,1,right,B. Ingram 13' pullup Jump Shot (14 PTS) (L. Nance Jr. 2 AST),"[1627742, 1626204]",1610612740.0,NOP,pullup,,,Ingram,B. Ingram,,,,,In The Paint (Non-RA),8-16 Center,13.3,Made,,,,,,,14.0,,,L. Nance Jr.,1626204.0,2.0,,,,,,
365,PT10M07.00S,2024-01-24T02:22:14.9Z,3,REGULAR,violation,delay-of-game,['team'],0,,,1610612762,85,68,2024-01-24T02:22:20Z,3590000,False,,,0,,TEAM delay-of-game VIOLATION,[],1610612740.0,NOP,,,,,,,,,,,,,,,,,,,,,1628954.0,,,,,,,,,,
366,PT09M56.00S,2024-01-24T02:22:32.0Z,3,REGULAR,3pt,Jump Shot,[],1631323,24.52365308804205,86.51960784313727,1610612762,85,68,2024-01-24T02:22:37Z,3600000,False,-183.0,178.0,1,left,MISS S. Fontecchio 25' 3PT,[1631323],1610612762.0,UTA,,,,Fontecchio,S. Fontecchio,,,,,Above the Break 3,24+ Left Center,25.5,Missed,,,,,,,,,,,,,,,,,,
367,PT09M51.00S,2024-01-24T02:22:37.0Z,3,REGULAR,rebound,offensive,[],1627739,,,1610612762,85,68,2024-01-24T02:22:37Z,3610000,False,,,0,,K. Dunn REBOUND (Off:1 Def:0),[1627739],1610612762.0,UTA,,,,Dunn,K. Dunn,,,,,Above the Break 3,24+ Left Center,,,366.0,1.0,0.0,1.0,,,,,,,,,,,,,,
368,PT09M47.00S,2024-01-24T02:22:40.3Z,3,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1629012,5.995400788436268,53.431372549019606,1610612762,85,70,2024-01-24T02:22:44Z,3620000,False,-17.0,4.0,1,left,C. Sexton driving Layup (18 PTS),[1629012],1610612762.0,UTA,driving,,,Sexton,C. Sexton,,,,,Restricted Area,0-8 Center,1.76,Made,,,,,,,18.0,,,,,,,,,,,
369,PT09M35.00S,2024-01-24T02:22:51.8Z,3,REGULAR,2pt,Layup,['pointsinthepaint'],1629627,89.17542706964521,46.81372549019608,1610612740,87,70,2024-01-24T02:22:56Z,3630000,False,-16.0,49.0,1,right,Z. Williamson driving Layup (8 PTS),[1629627],1610612740.0,NOP,driving,,,Williamson,Z. Williamson,,,,,In The Paint (Non-RA),0-8 Center,5.18,Made,,,,,,,8.0,,,,,,,,,,,
370,PT09M22.00S,2024-01-24T02:23:05.3Z,3,REGULAR,2pt,Layup,['pointsinthepaint'],1628381,9.017739816031538,49.01960784313725,1610612762,87,70,2024-01-24T02:23:09Z,3640000,False,5.0,32.0,1,left,MISS J. Collins driving Layup,[1628381],1610612762.0,UTA,driving,,,Collins,J. Collins,,,,,Restricted Area,0-8 Center,3.27,Missed,,,,,,,,,,,,,,,,,,
371,PT09M20.00S,2024-01-24T02:23:07.3Z,3,REGULAR,rebound,defensive,[],1626204,,,1610612740,87,70,2024-01-24T02:23:09Z,3650000,False,,,0,,L. Nance Jr. REBOUND (Off:0 Def:6),[1626204],1610612740.0,NOP,,,,Nance Jr.,L. Nance Jr.,,,,,Restricted Area,0-8 Center,,,370.0,6.0,6.0,0.0,,,,,,,,,,,,,,
372,PT09M18.00S,2024-01-24T02:23:09.2Z,3,REGULAR,turnover,bad pass,[],1626204,,,1610612740,87,70,2024-01-24T02:23:13Z,3660000,False,,,0,,L. Nance Jr. bad pass TURNOVER (1 TO),"[1626204, 1631323]",1610612740.0,NOP,,,,Nance Jr.,L. Nance Jr.,,,,,Above the Break 3,24+ Left Center,,,,,,,,,,,1.0,,,,,,,,Fontecchio,1631323.0
373,PT09M18.00S,2024-01-24T02:23:09.2Z,3,REGULAR,steal,,[],1631323,,,1610612762,87,70,2024-01-24T02:23:11Z,3670000,False,,,0,,S. Fontecchio STEAL (2 STL),[1631323],1610612762.0,UTA,,,,Fontecchio,S. Fontecchio,,,,,Above the Break 3,24+ Left Center,,,,,,,,,,,,,,,,,,,,
374,PT09M15.00S,2024-01-24T02:23:12.2Z,3,REGULAR,2pt,DUNK,"['fastbreak', 'pointsinthepaint', 'fromturnover']",1631323,5.863994743758213,51.9607843137255,1610612762,87,72,2024-01-24T02:24:12Z,3680000,False,-10.0,3.0,1,left,S. Fontecchio running DUNK (18 PTS),[1631323],1610612762.0,UTA,running,,,Fontecchio,S. Fontecchio,,,,,Restricted Area,0-8 Center,1.01,Made,,,,,,,18.0,,,,,,,,,,,
375,PT08M58.00S,2024-01-24T02:23:33.5Z,3,REGULAR,foul,personal,[],1627739,,,1610612740,87,72,2024-01-24T02:23:41Z,3690000,False,,,0,,K. Dunn personal FOUL (3 PF),"[1627739, 203468]",1610612762.0,UTA,,,,Dunn,K. Dunn,,,,,Mid-Range,8-16 Center,,,,,,,,,,202007.0,,,,,3.0,0.0,McCollum,203468.0,,
377,PT08M52.00S,2024-01-24T02:23:57.6Z,3,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1627742,82.86793692509855,48.77450980392157,1610612740,87,72,2024-01-24T02:24:03Z,3710000,False,-6.0,109.0,1,right,MISS B. Ingram 10' pullup Shot,[1627742],1610612740.0,NOP,pullup,,,Ingram,B. Ingram,,,,,In The Paint (Non-RA),8-16 Center,10.87,Missed,,,,,,,,,,,,,,,,,,
378,PT08M47.00S,2024-01-24T02:24:02.6Z,3,REGULAR,rebound,defensive,[],1631323,,,1610612762,87,72,2024-01-24T02:26:39Z,3720000,False,,,0,,S. Fontecchio REBOUND (Off:0 Def:2),[1631323],1610612762.0,UTA,,,,Fontecchio,S. Fontecchio,,,,,In The Paint (Non-RA),8-16 Center,,,377.0,2.0,2.0,0.0,,,,,,,,,,,,,,
379,PT08M40.00S,2024-01-24T02:24:08.8Z,3,REGULAR,2pt,DUNK,['pointsinthepaint'],1628381,5.995400788436268,50.0,1610612762,87,74,2024-01-24T02:26:33Z,3730000,False,0.0,4.0,1,left,J. Collins DUNK (6 PTS) (C. Sexton 6 AST),"[1628381, 1629012]",1610612762.0,UTA,,,,Collins,J. Collins,,,,,Restricted Area,0-8 Center,0.39,Made,,,,,,,6.0,,,C. Sexton,1629012.0,6.0,,,,,,
381,PT08M32.00S,2024-01-24T02:24:25.7Z,3,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612740,87,74,2024-01-24T02:24:25Z,3750000,False,,,0,,NOP Timeout,[],1610612740.0,NOP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
382,PT08M24.00S,2024-01-24T02:27:28.4Z,3,REGULAR,3pt,Jump Shot,[],1626204,68.80749014454665,70.58823529411765,1610612740,87,74,2024-01-24T02:27:34Z,3760000,False,103.0,241.0,1,right,MISS L. Nance Jr. 26' 3PT,[1626204],1610612740.0,NOP,,,,Nance Jr.,L. Nance Jr.,,,,,Above the Break 3,24+ Right Center,26.18,Missed,,,,,,,,,,,,,,,,,,
383,PT08M19.00S,2024-01-24T02:27:33.4Z,3,REGULAR,rebound,defensive,[],1627739,,,1610612762,87,74,2024-01-24T02:27:34Z,3770000,False,,,0,,K. Dunn REBOUND (Off:1 Def:1),[1627739],1610612762.0,UTA,,,,Dunn,K. Dunn,,,,,Above the Break 3,24+ Right Center,,,382.0,2.0,1.0,1.0,,,,,,,,,,,,,,
384,PT08M16.00S,2024-01-24T02:27:38.6Z,3,REGULAR,2pt,Layup,"['fastbreak', 'pointsinthepaint']",1629012,8.229303547963205,49.26470588235294,1610612762,87,76,2024-01-24T02:27:57Z,3780000,False,4.0,25.0,1,left,C. Sexton running Layup (20 PTS) (K. Dunn 4 AST),"[1629012, 1627739]",1610612762.0,UTA,running,,,Sexton,C. Sexton,,,,,Restricted Area,0-8 Center,2.52,Made,,,,,,,20.0,,,K. Dunn,1627739.0,4.0,,,,,,
386,PT08M16.00S,2024-01-24T02:27:45.8Z,3,REGULAR,foul,personal,['1freethrow'],1630529,,,1610612762,87,76,2024-01-24T02:27:54Z,3800000,False,,,0,,H. Jones shooting personal FOUL (3 PF) (Sexton 1 FT),"[1630529, 1629012]",1610612740.0,NOP,shooting,,,Jones,H. Jones,,,,,Restricted Area,0-8 Center,,,,,,,,,,202007.0,,,,,3.0,0.0,Sexton,1629012.0,,
388,PT08M16.00S,2024-01-24T02:28:01.7Z,3,REGULAR,freethrow,1 of 1,['fastbreak'],1629012,,,1610612762,87,76,2024-01-24T02:28:03Z,3820000,False,,,0,,MISS C. Sexton Free Throw 1 of 1,[1629012],1610612762.0,UTA,,,,Sexton,C. Sexton,,,,,,,,Missed,,,,,,,,,,,,,,,,,,
389,PT08M13.00S,2024-01-24T02:28:04.7Z,3,REGULAR,rebound,defensive,[],1626204,,,1610612740,87,76,2024-01-24T02:28:03Z,3830000,False,,,0,,L. Nance Jr. REBOUND (Off:0 Def:7),[1626204],1610612740.0,NOP,,,,Nance Jr.,L. Nance Jr.,,,,,,,,,388.0,7.0,7.0,0.0,,,,,,,,,,,,,,
390,PT08M03.00S,2024-01-24T02:28:13.0Z,3,REGULAR,2pt,Jump Shot,['pointsinthepaint'],203468,91.67214191852825,49.50980392156863,1610612740,89,76,2024-01-24T02:28:19Z,3840000,False,-2.0,26.0,1,right,C. McCollum driving floating Jump Shot (22 PTS),[203468],1610612740.0,NOP,driving floating,,,McCollum,C. McCollum,,,,,Restricted Area,0-8 Center,2.59,Made,,,,,,,22.0,,,,,,,,,,,
391,PT07M47.00S,2024-01-24T02:28:29.3Z,3,REGULAR,3pt,Jump Shot,[],1627739,6.389618922470433,97.30392156862744,1610612762,89,79,2024-01-24T02:28:34Z,3850000,False,-237.0,8.0,1,left,K. Dunn 3PT  (6 PTS) (S. Fontecchio 2 AST),"[1627739, 1631323]",1610612762.0,UTA,,,,Dunn,K. Dunn,,,,,Left Corner 3,24+ Left,23.66,Made,,,,,,,6.0,,,S. Fontecchio,1631323.0,2.0,,,,,,
393,PT07M39.00S,2024-01-24T02:28:40.5Z,3,REGULAR,foul,personal,['2freethrow'],1628381,,,1610612740,89,79,2024-01-24T02:29:59Z,3870000,False,,,0,,J. Collins shooting personal FOUL (2 PF) (McCollum 2 FT),"[1628381, 203468]",1610612762.0,UTA,shooting,,,Collins,J. Collins,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,202007.0,,,,,2.0,0.0,McCollum,203468.0,,
395,PT07M39.00S,2024-01-24T02:29:05.2Z,3,REGULAR,freethrow,1 of 2,[],203468,,,1610612740,90,79,2024-01-24T02:29:32Z,3890000,False,,,0,,C. McCollum Free Throw 1 of 2 (23 PTS),[203468],1610612740.0,NOP,,,,McCollum,C. McCollum,,,,,,,,Made,,,,,,,23.0,,,,,,,,,,,
396,PT07M39.00S,2024-01-24T02:29:05.2Z,3,REGULAR,freethrow,2 of 2,[],203468,,,1610612740,91,79,2024-01-24T02:29:32Z,3900000,False,,,0,,C. McCollum Free Throw 2 of 2 (24 PTS),[203468],1610612740.0,NOP,,,,McCollum,C. McCollum,,,,,,,,Made,,,,,,,24.0,,,,,,,,,,,
397,PT07M27.00S,2024-01-24T02:29:35.1Z,3,REGULAR,3pt,Jump Shot,[],1631323,22.421156373193167,91.91176470588235,1610612762,91,79,2024-01-24T02:29:40Z,3910000,False,-210.0,158.0,1,left,MISS S. Fontecchio 26' 3PT,[1631323],1610612762.0,UTA,,,,Fontecchio,S. Fontecchio,,,,,Above the Break 3,24+ Left Center,26.27,Missed,,,,,,,,,,,,,,,,,,
398,PT07M22.00S,2024-01-24T02:29:40.1Z,3,REGULAR,rebound,offensive,[],1627739,,,1610612762,91,79,2024-01-24T02:29:40Z,3920000,False,,,0,,K. Dunn REBOUND (Off:2 Def:1),[1627739],1610612762.0,UTA,,,,Dunn,K. Dunn,,,,,Above the Break 3,24+ Left Center,,,397.0,3.0,1.0,2.0,,,,,,,,,,,,,,
399,PT07M22.00S,2024-01-24T02:29:39.7Z,3,REGULAR,2pt,DUNK,"['pointsinthepaint', '2ndchance']",1627739,5.590000152587891,50.0,1610612762,91,81,2024-01-24T02:29:39Z,3930000,False,0.0,0.0,1,left,K. Dunn putback DUNK (8 PTS),[1627739],1610612762.0,UTA,putback,,,Dunn,K. Dunn,,,,,Mid-Range,8-16 Left,0.0,Made,,,,,,,8.0,,,,,,,,,,,
400,PT07M16.00S,2024-01-24T02:29:50.5Z,3,REGULAR,turnover,out-of-bounds,[],203468,,,1610612740,91,81,2024-01-24T02:30:57Z,3940000,False,,,0,,C. McCollum bad pass out-of-bounds TURNOVER (2 TO),[203468],1610612740.0,NOP,bad pass,,,McCollum,C. McCollum,,,,,Mid-Range,16-24 Left Center,,,,,,,,,,1628954.0,2.0,,,,,,,,,
401,PT07M00.00S,2024-01-24T02:30:08.0Z,3,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fromturnover']",1629012,11.908672798948752,50.245098039215684,1610612762,91,83,2024-01-24T02:31:22Z,3950000,False,-1.0,59.0,1,left,C. Sexton turnaround fadeaway Jump Shot (22 PTS),[1629012],1610612762.0,UTA,turnaround fadeaway,,,Sexton,C. Sexton,,,,,In The Paint (Non-RA),0-8 Center,5.94,Made,,,,,,,22.0,,,,,,,,,,,
402,PT06M51.00S,2024-01-24T02:30:21.8Z,3,REGULAR,foul,personal,[],1628381,,,1610612740,91,83,2024-01-24T02:30:28Z,3960000,False,,,0,,J. Collins personal FOUL (3 PF),"[1628381, 1629627]",1610612762.0,UTA,,,,Collins,J. Collins,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,1628954.0,,,,,3.0,0.0,Williamson,1629627.0,,
404,PT06M48.00S,2024-01-24T02:30:49.5Z,3,REGULAR,3pt,Jump Shot,[],203468,81.553876478318,93.13725490196079,1610612740,91,83,2024-01-24T02:30:53Z,3980000,False,216.0,121.0,1,right,MISS C. McCollum 24' 3PT,[203468],1610612740.0,NOP,,,,McCollum,C. McCollum,,,,,Above the Break 3,24+ Right Center,24.73,Missed,,,,,,,,,,,,,,,,,,
405,PT06M46.00S,2024-01-24T02:30:51.5Z,3,REGULAR,rebound,defensive,[],1631323,,,1610612762,91,83,2024-01-24T02:30:53Z,3990000,False,,,0,,S. Fontecchio REBOUND (Off:0 Def:3),[1631323],1610612762.0,UTA,,,,Fontecchio,S. Fontecchio,,,,,Above the Break 3,24+ Right Center,,,404.0,3.0,3.0,0.0,,,,,,,,,,,,,,
406,PT06M38.00S,2024-01-24T02:30:58.7Z,3,REGULAR,2pt,DUNK,['pointsinthepaint'],1628381,6.1268068331143235,47.549019607843135,1610612762,91,83,2024-01-24T02:31:03Z,4000000,False,12.0,5.0,1,left,MISS J. Collins cutting DUNK - blocked,"[1628381, 1630529]",1610612762.0,UTA,cutting,,,Collins,J. Collins,,,,,Restricted Area,0-8 Center,1.33,Missed,,,,,Jones,1630529.0,,,,,,,,,,,,
407,PT06M38.00S,2024-01-24T02:30:58.7Z,3,REGULAR,block,,[],1630529,,,1610612762,91,83,2024-01-24T02:31:01Z,4010000,False,,,0,,H. Jones BLOCK (1 BLK),[1630529],1610612740.0,NOP,,,,Jones,H. Jones,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
408,PT06M35.00S,2024-01-24T02:31:01.7Z,3,REGULAR,rebound,defensive,[],1626204,,,1610612740,91,83,2024-01-24T02:31:03Z,4020000,False,,,0,,L. Nance Jr. REBOUND (Off:0 Def:8),[1626204],1610612740.0,NOP,,,,Nance Jr.,L. Nance Jr.,,,,,Restricted Area,0-8 Center,,,406.0,8.0,8.0,0.0,,,,,,,,,,,,,,
409,PT06M32.00S,2024-01-24T02:31:04.7Z,3,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",1627742,92.06636005256242,49.01960784313725,1610612740,93,83,2024-01-24T02:31:11Z,4030000,False,-5.0,22.0,1,right,B. Ingram running Layup (16 PTS) (L. Nance Jr. 3 AST),"[1627742, 1626204]",1610612740.0,NOP,running,,,Ingram,B. Ingram,,,,,Restricted Area,0-8 Center,2.26,Made,,,,,,,16.0,,,L. Nance Jr.,1626204.0,3.0,,,,,,
410,PT06M26.00S,2024-01-24T02:31:11.4Z,3,REGULAR,turnover,bad pass,[],1627739,,,1610612762,93,83,2024-01-24T02:31:16Z,4040000,False,,,0,,K. Dunn bad pass TURNOVER (1 TO),"[1627739, 1630529]",1610612762.0,UTA,,,,Dunn,K. Dunn,,,,,Mid-Range,8-16 Right,,,,,,,,,,,1.0,,,,,,,,Jones,1630529.0
411,PT06M26.00S,2024-01-24T02:31:11.4Z,3,REGULAR,steal,,[],1630529,,,1610612740,93,83,2024-01-24T02:31:13Z,4050000,False,,,0,,H. Jones STEAL (1 STL),[1630529],1610612740.0,NOP,,,,Jones,H. Jones,,,,,Mid-Range,8-16 Right,,,,,,,,,,,,,,,,,,,,
412,PT06M24.00S,2024-01-24T02:31:15.7Z,3,REGULAR,2pt,DUNK,"['pointsinthepaint', 'fromturnover', 'fastbreak']",1629627,93.51182654402102,50.0,1610612740,95,83,2024-01-24T02:31:26Z,4060000,False,0.0,8.0,1,right,Z. Williamson running DUNK (10 PTS) (H. Jones 3 AST),"[1629627, 1630529]",1610612740.0,NOP,running,,,Williamson,Z. Williamson,,,,,Restricted Area,0-8 Center,0.85,Made,,,,,,,10.0,,,H. Jones,1630529.0,3.0,,,,,,
414,PT06M24.00S,2024-01-24T02:31:25.6Z,3,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612762,95,83,2024-01-24T02:31:25Z,4080000,False,,,0,,UTA Timeout,[],1610612762.0,UTA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
416,PT06M24.00S,2024-01-24T02:33:46.8Z,3,REGULAR,substitution,out,[],1629627,,,1610612762,95,83,2024-01-24T02:34:16Z,4090000,False,,,0,,SUB out: Z. Williamson,[1629627],1610612740.0,NOP,,,,Williamson,Z. Williamson,,,,,,,,,,,,,,,,,,,,,,,,,,
417,PT06M24.00S,2024-01-24T02:33:46.8Z,3,REGULAR,substitution,in,[],1630530,,,1610612762,95,83,2024-01-24T02:34:16Z,4100000,False,,,0,,SUB in: T. Murphy III,[1630530],1610612740.0,NOP,,,,Murphy III,T. Murphy III,,,,,,,,,,,,,,,,,,,,,,,,,,
418,PT06M03.00S,2024-01-24T02:34:38.4Z,3,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628374,17.821944809461236,51.71568627450981,1610612762,95,83,2024-01-24T02:34:43Z,4110000,False,-9.0,115.0,1,left,MISS L. Markkanen 11' turnaround Shot,[1628374],1610612762.0,UTA,turnaround,,,Markkanen,L. Markkanen,,,,,In The Paint (Non-RA),8-16 Center,11.53,Missed,,,,,,,,,,,,,,,,,,
419,PT06M00.00S,2024-01-24T02:34:41.4Z,3,REGULAR,rebound,offensive,[],1628374,,,1610612762,95,83,2024-01-24T02:34:43Z,4120000,False,,,0,,L. Markkanen REBOUND (Off:2 Def:2),[1628374],1610612762.0,UTA,,,,Markkanen,L. Markkanen,,,,,In The Paint (Non-RA),8-16 Center,,,418.0,4.0,2.0,2.0,,,,,,,,,,,,,,
420,PT05M54.00S,2024-01-24T02:34:47.3Z,3,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1627739,6.389618922470433,43.13725490196079,1610612762,95,85,2024-01-24T02:34:51Z,4130000,False,34.0,8.0,1,left,K. Dunn driving Layup (10 PTS),[1627739],1610612762.0,UTA,driving,,,Dunn,K. Dunn,,,,,Restricted Area,0-8 Center,3.51,Made,,,,,,,10.0,,,,,,,,,,,
421,PT05M26.00S,2024-01-24T02:35:14.5Z,3,REGULAR,3pt,Jump Shot,[],203468,95.6143232588699,3.9215686274509802,1610612740,95,85,2024-01-24T02:35:52Z,4140000,False,-230.0,-11.0,1,right,MISS C. McCollum step back 3PT,[203468],1610612740.0,NOP,step back,,,McCollum,C. McCollum,,,,,Left Corner 3,24+ Left,23.07,Missed,,,,,,,,,,,,,,,,,,
422,PT05M22.00S,2024-01-24T02:35:18.5Z,3,REGULAR,rebound,defensive,[],1631323,,,1610612762,95,85,2024-01-24T02:35:18Z,4150000,False,,,0,,S. Fontecchio REBOUND (Off:0 Def:4),[1631323],1610612762.0,UTA,,,,Fontecchio,S. Fontecchio,,,,,Left Corner 3,24+ Left,,,421.0,4.0,4.0,0.0,,,,,,,,,,,,,,
