actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,playerName,playerNameI,shotActionNumber,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId
339,PT00M00.80S,2025-04-01T00:36:14.8Z,2,REGULAR,rebound,offensive,['team'],0,,,1610612738,61,66,2025-04-01T00:36:20Z,3380000,False,,,0,,TEAM offensive REBOUND,[],1610612738.0,BOS,,,,,,,Above the Break 3,24+ Left Center,,,,,,338.0,,,,,,,,,,,,,,,,
340,PT00M00.00S,2025-04-01T00:36:18.4Z,2,REGULAR,period,end,[],0,,,1610612738,61,66,2025-04-01T00:36:18Z,3390000,False,,,0,,Period End,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
341,PT12M00.00S,2025-04-01T00:51:53.2Z,3,REGULAR,substitution,out,['startperiod'],1630583,,,1610612738,61,66,2025-04-01T00:52:42Z,3400000,False,,,0,,SUB out: S. Aldama,[1630583],1610612763.0,MEM,,,,,,,,,,,,Aldama,S. Aldama,,,,,,,,,,,,,,,,,
342,PT12M00.00S,2025-04-01T00:51:53.2Z,3,REGULAR,substitution,out,['startperiod'],1630590,,,1610612738,61,66,2025-04-01T00:52:42Z,3410000,False,,,0,,SUB out: S. Pippen Jr.,[1630590],1610612763.0,MEM,,,,,,,,,,,,Pippen Jr.,S. Pippen Jr.,,,,,,,,,,,,,,,,,
343,PT12M00.00S,2025-04-01T00:51:53.2Z,3,REGULAR,substitution,out,['startperiod'],201143,,,1610612738,61,66,2025-04-01T00:52:42Z,3420000,False,,,0,,SUB out: A. Horford,[201143],1610612738.0,BOS,,,,,,,,,,,,Horford,A. Horford,,,,,,,,,,,,,,,,,
344,PT12M00.00S,2025-04-01T00:51:53.2Z,3,REGULAR,substitution,in,['startperiod'],1642377,,,1610612738,61,66,2025-04-01T00:52:42Z,3430000,False,,,0,,SUB in: J. Wells,[1642377],1610612763.0,MEM,,,,,,,,,,,,Wells,J. Wells,,,,,,,,,,,,,,,,,
345,PT12M00.00S,2025-04-01T00:51:53.2Z,3,REGULAR,substitution,in,['startperiod'],1641744,,,1610612738,61,66,2025-04-01T00:52:42Z,3440000,False,,,0,,SUB in: Z. Edey,[1641744],1610612763.0,MEM,,,,,,,,,,,,Edey,Z. Edey,,,,,,,,,,,,,,,,,
346,PT12M00.00S,2025-04-01T00:51:53.2Z,3,REGULAR,substitution,in,['startperiod'],1630214,,,1610612738,61,66,2025-04-01T00:52:42Z,3450000,False,,,0,,SUB in: X. Tillman,[1630214],1610612738.0,BOS,,,,,,,,,,,,Tillman,X. Tillman,,,,,,,,,,,,,,,,,
347,PT12M00.00S,2025-04-01T00:53:05.1Z,3,REGULAR,period,start,[],0,,,1610612738,61,66,2025-04-01T00:53:05Z,3460000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
348,PT11M41.00S,2025-04-01T00:53:22.8Z,3,REGULAR,3pt,Jump Shot,[],1628401,27.808804204993432,74.75490196078431,1610612738,61,66,2025-04-01T00:53:27Z,3470000,False,-124.0,209.0,1,left,MISS D. White 24' 3PT,[1628401],1610612738.0,BOS,,,,,,,Above the Break 3,24+ Left Center,24.28,Missed,,White,D. White,,,,,,,,,,,,,,,,,
349,PT11M39.00S,2025-04-01T00:53:24.9Z,3,REGULAR,rebound,defensive,[],1628991,,,1610612763,61,66,2025-04-01T00:53:24Z,3480000,False,,,0,,J. Jackson Jr. REBOUND (Off:0 Def:8),[1628991],1610612763.0,MEM,,,,,,,Above the Break 3,24+ Left Center,,,,Jackson Jr.,J. Jackson Jr.,348.0,,,,,,8.0,8.0,0.0,,,,,,,,
350,PT11M33.00S,2025-04-01T00:53:31.1Z,3,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1629630,83.65637319316689,43.38235294117647,1610612763,61,66,2025-04-01T00:53:37Z,3490000,False,-33.0,101.0,1,right,MISS J. Morant 10' fadeaway Shot,[1629630],1610612763.0,MEM,fadeaway,,,,,,In The Paint (Non-RA),8-16 Center,10.64,Missed,,Morant,J. Morant,,,,,,,,,,,,,,,,,
351,PT11M30.00S,2025-04-01T00:53:34.1Z,3,REGULAR,rebound,defensive,[],201950,,,1610612738,61,66,2025-04-01T00:53:37Z,3500000,False,,,0,,J. Holiday REBOUND (Off:1 Def:3),[201950],1610612738.0,BOS,,,,,,,In The Paint (Non-RA),8-16 Center,,,,Holiday,J. Holiday,350.0,,,,,,4.0,3.0,1.0,,,,,,,,
352,PT11M21.00S,2025-04-01T00:53:43.8Z,3,REGULAR,2pt,Jump Shot,[],1628369,13.748357424441524,17.892156862745097,1610612738,61,66,2025-04-01T00:53:48Z,3510000,False,161.0,77.0,1,left,MISS J. Tatum 17' step back Shot,[1628369],1610612738.0,BOS,step back,,,,,,Mid-Range,16-24 Right,17.79,Missed,,Tatum,J. Tatum,,,,,,,,,,,,,,,,,
353,PT11M17.00S,2025-04-01T00:53:47.8Z,3,REGULAR,rebound,defensive,[],1628991,,,1610612763,61,66,2025-04-01T00:53:48Z,3520000,False,,,0,,J. Jackson Jr. REBOUND (Off:0 Def:9),[1628991],1610612763.0,MEM,,,,,,,Mid-Range,16-24 Right,,,,Jackson Jr.,J. Jackson Jr.,352.0,,,,,,9.0,9.0,0.0,,,,,,,,
354,PT11M01.00S,2025-04-01T00:54:02.9Z,3,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628991,86.94152431011827,51.9607843137255,1610612763,63,66,2025-04-01T01:12:07Z,3530000,False,10.0,70.0,1,right,J. Jackson Jr. 7' driving floating Jump Shot (12 PTS) (J. Morant 4 AST),"[1628991, 1629630]",1610612763.0,MEM,driving floating,,,,,,In The Paint (Non-RA),0-8 Center,7.09,Made,12.0,Jackson Jr.,J. Jackson Jr.,,,,,,,,,,J. Morant,1629630.0,4.0,,,,,
356,PT10M38.00S,2025-04-01T00:54:26.0Z,3,REGULAR,3pt,Jump Shot,[],1630214,27.020367936925098,10.53921568627451,1610612738,63,66,2025-04-01T00:54:30Z,3550000,False,197.0,201.0,1,left,MISS X. Tillman 28' 3PT,[1630214],1610612738.0,BOS,,,,,,,Above the Break 3,24+ Right Center,28.2,Missed,,Tillman,X. Tillman,,,,,,,,,,,,,,,,,
357,PT10M36.00S,2025-04-01T00:54:28.0Z,3,REGULAR,rebound,defensive,[],1629630,,,1610612763,63,66,2025-04-01T00:54:30Z,3560000,False,,,0,,J. Morant REBOUND (Off:1 Def:3),[1629630],1610612763.0,MEM,,,,,,,Above the Break 3,24+ Right Center,,,,Morant,J. Morant,356.0,,,,,,4.0,3.0,1.0,,,,,,,,
358,PT10M29.00S,2025-04-01T00:54:35.2Z,3,REGULAR,2pt,Layup,"['fastbreak', 'pointsinthepaint']",1629630,92.19776609724047,42.64705882352941,1610612763,65,66,2025-04-01T00:56:55Z,3570000,False,-37.0,21.0,1,right,J. Morant running Layup (21 PTS),[1629630],1610612763.0,MEM,running,,,,,,Restricted Area,0-8 Center,4.23,Made,21.0,Morant,J. Morant,,,,,,,,,,,,,,,,,
359,PT10M16.00S,2025-04-01T00:54:47.2Z,3,REGULAR,3pt,Jump Shot,[],1630214,6.389618922470433,94.36274509803921,1610612738,65,66,2025-04-01T00:54:52Z,3580000,False,-222.0,8.0,1,left,MISS X. Tillman 3PT,[1630214],1610612738.0,BOS,,,,,,,Left Corner 3,24+ Left,22.19,Missed,,Tillman,X. Tillman,,,,,,,,,,,,,,,,,
360,PT10M14.00S,2025-04-01T00:54:49.2Z,3,REGULAR,rebound,defensive,[],1630217,,,1610612763,65,66,2025-04-01T00:54:52Z,3590000,False,,,0,,D. Bane REBOUND (Off:0 Def:1),[1630217],1610612763.0,MEM,,,,,,,Left Corner 3,24+ Left,,,,Bane,D. Bane,359.0,,,,,,1.0,1.0,0.0,,,,,,,,
361,PT10M10.00S,2025-04-01T00:54:54.2Z,3,REGULAR,3pt,Jump Shot,['fastbreak'],1642377,87.86136662286465,94.85294117647058,1610612763,68,66,2025-04-01T00:55:01Z,3600000,False,224.0,62.0,1,right,J. Wells 3PT running (8 PTS) (D. Bane 2 AST),"[1642377, 1630217]",1610612763.0,MEM,running,,,,,,Right Corner 3,24+ Right,23.26,Made,8.0,Wells,J. Wells,,,,,,,,,,D. Bane,1630217.0,2.0,,,,,
363,PT09M45.00S,2025-04-01T00:55:18.7Z,3,REGULAR,3pt,Jump Shot,[],1628369,31.882391590013142,42.15686274509804,1610612738,68,66,2025-04-01T00:55:23Z,3620000,False,39.0,247.0,1,left,MISS J. Tatum 25' pullup 3PT,[1628369],1610612738.0,BOS,pullup,,,,,,Above the Break 3,24+ Center,25.03,Missed,,Tatum,J. Tatum,,,,,,,,,,,,,,,,,
364,PT09M42.00S,2025-04-01T00:55:21.7Z,3,REGULAR,rebound,defensive,[],1628991,,,1610612763,68,66,2025-04-01T00:55:23Z,3630000,False,,,0,,J. Jackson Jr. REBOUND (Off:0 Def:10),[1628991],1610612763.0,MEM,,,,,,,Above the Break 3,24+ Center,,,,Jackson Jr.,J. Jackson Jr.,363.0,,,,,,10.0,10.0,0.0,,,,,,,,
365,PT09M36.00S,2025-04-01T00:55:27.8Z,3,REGULAR,3pt,Jump Shot,['fastbreak'],1628991,68.15045992115637,71.07843137254902,1610612763,71,66,2025-04-01T00:58:31Z,3640000,False,105.0,247.0,1,right,J. Jackson Jr. 26' 3PT running (15 PTS) (D. Bane 3 AST),"[1628991, 1630217]",1610612763.0,MEM,running,,,,,,Above the Break 3,24+ Right Center,26.85,Made,15.0,Jackson Jr.,J. Jackson Jr.,,,,,,,,,,D. Bane,1630217.0,3.0,,,,,
367,PT09M19.00S,2025-04-01T00:55:44.3Z,3,REGULAR,3pt,Jump Shot,[],1630214,27.54599211563732,12.990196078431374,1610612738,71,66,2025-04-01T00:55:50Z,3660000,False,185.0,206.0,1,left,MISS X. Tillman 27' 3PT,[1630214],1610612738.0,BOS,,,,,,,Above the Break 3,24+ Right Center,27.72,Missed,,Tillman,X. Tillman,,,,,,,,,,,,,,,,,
368,PT09M16.00S,2025-04-01T00:55:47.3Z,3,REGULAR,rebound,defensive,[],1641744,,,1610612763,71,66,2025-04-01T00:55:50Z,3670000,False,,,0,,Z. Edey REBOUND (Off:0 Def:1),[1641744],1610612763.0,MEM,,,,,,,Above the Break 3,24+ Right Center,,,,Edey,Z. Edey,367.0,,,,,,1.0,1.0,0.0,,,,,,,,
369,PT09M13.00S,2025-04-01T00:55:51.0Z,3,REGULAR,turnover,bad pass,[],1629630,,,1610612763,71,66,2025-04-01T00:55:56Z,3680000,False,,,0,,J. Morant bad pass TURNOVER (2 TO),"[1629630, 1630214]",1610612763.0,MEM,,,,,,,Mid-Range,16-24 Center,,,,Morant,J. Morant,,,,,,,,,,,,,2.0,Tillman,1630214.0,,
370,PT09M13.00S,2025-04-01T00:55:51.0Z,3,REGULAR,steal,,[],1630214,,,1610612738,71,66,2025-04-01T00:55:53Z,3690000,False,,,0,,X. Tillman STEAL (1 STL),[1630214],1610612738.0,BOS,,,,,,,Mid-Range,16-24 Center,,,,Tillman,X. Tillman,,,,,,,,,,,,,,,,,
371,PT09M07.00S,2025-04-01T00:55:57.0Z,3,REGULAR,3pt,Jump Shot,"['fastbreak', 'fromturnover']",201950,30.773653088042053,71.1014093137255,1610612738,71,69,2025-04-01T00:56:10Z,3700000,False,-106.0,237.0,1,left,J. Holiday 25' 3PT running pullup (8 PTS),[201950],1610612738.0,BOS,running pullup,,,,,,Above the Break 3,24+ Left Center,25.92,Made,8.0,Holiday,J. Holiday,,,,,,,,,,,,,,,,,
372,PT08M50.00S,2025-04-01T00:56:13.9Z,3,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628991,82.47371879106439,47.549019607843135,1610612763,73,69,2025-04-01T01:10:55Z,3710000,False,-12.0,112.0,1,right,J. Jackson Jr. 11' driving floating Jump Shot (17 PTS),[1628991],1610612763.0,MEM,driving floating,,,,,,In The Paint (Non-RA),8-16 Center,11.29,Made,17.0,Jackson Jr.,J. Jackson Jr.,,,,,,,,,,,,,,,,,
373,PT08M38.00S,2025-04-01T00:56:25.9Z,3,REGULAR,2pt,Layup,['pointsinthepaint'],204001,9.280551905387648,54.90196078431373,1610612738,73,69,2025-04-01T00:56:31Z,3720000,False,-25.0,35.0,1,left,MISS K. Porziņģis cutting Layup,[204001],1610612738.0,BOS,cutting,,,,,,Restricted Area,0-8 Center,4.25,Missed,,Porziņģis,K. Porziņģis,,,,,,,,,,,,,,,,,
374,PT08M36.00S,2025-04-01T00:56:27.9Z,3,REGULAR,rebound,defensive,[],1630217,,,1610612763,73,69,2025-04-01T00:56:31Z,3730000,False,,,0,,D. Bane REBOUND (Off:0 Def:2),[1630217],1610612763.0,MEM,,,,,,,Restricted Area,0-8 Center,,,,Bane,D. Bane,373.0,,,,,,2.0,2.0,0.0,,,,,,,,
375,PT08M28.00S,2025-04-01T00:56:35.8Z,3,REGULAR,3pt,Jump Shot,[],1628991,67.09921156373193,61.51960784313726,1610612763,73,69,2025-04-01T00:56:41Z,3740000,False,58.0,257.0,1,right,MISS J. Jackson Jr. 26' pullup 3PT,[1628991],1610612763.0,MEM,pullup,,,,,,Above the Break 3,24+ Center,26.32,Missed,,Jackson Jr.,J. Jackson Jr.,,,,,,,,,,,,,,,,,
376,PT08M24.00S,2025-04-01T00:56:39.8Z,3,REGULAR,rebound,defensive,[],1630214,,,1610612738,73,69,2025-04-01T00:56:41Z,3750000,False,,,0,,X. Tillman REBOUND (Off:1 Def:2),[1630214],1610612738.0,BOS,,,,,,,Above the Break 3,24+ Center,,,,Tillman,X. Tillman,375.0,,,,,,3.0,2.0,1.0,,,,,,,,
377,PT08M20.00S,2025-04-01T00:56:48.1Z,3,REGULAR,foul,personal,[],1630217,,,1610612738,73,69,2025-04-01T00:56:58Z,3760000,False,,,0,,D. Bane personal FOUL (3 PF),"[1630217, 204001]",1610612763.0,MEM,,,,,,,In The Paint (Non-RA),0-8 Center,,,,Bane,D. Bane,,1146.0,3.0,0.0,Porziņģis,204001.0,,,,,,,,,,,
379,PT08M20.00S,2025-04-01T00:56:53.5Z,3,REGULAR,substitution,out,[],1630214,,,1610612738,73,69,2025-04-01T00:56:57Z,3780000,False,,,0,,SUB out: X. Tillman,[1630214],1610612738.0,BOS,,,,,,,,,,,,Tillman,X. Tillman,,,,,,,,,,,,,,,,,
380,PT08M20.00S,2025-04-01T00:56:53.5Z,3,REGULAR,substitution,in,[],201143,,,1610612738,73,69,2025-04-01T00:56:57Z,3790000,False,,,0,,SUB in: A. Horford,[201143],1610612738.0,BOS,,,,,,,,,,,,Horford,A. Horford,,,,,,,,,,,,,,,,,
381,PT08M17.00S,2025-04-01T00:57:07.1Z,3,REGULAR,3pt,Jump Shot,[],201143,32.013797634691194,41.911764705882355,1610612738,73,69,2025-04-01T00:57:11Z,3800000,False,40.0,248.0,1,left,MISS A. Horford 25' 3PT,[201143],1610612738.0,BOS,,,,,,,Above the Break 3,24+ Center,25.17,Missed,,Horford,A. Horford,,,,,,,,,,,,,,,,,
382,PT08M15.00S,2025-04-01T00:57:09.1Z,3,REGULAR,rebound,defensive,[],1629630,,,1610612763,73,69,2025-04-01T00:57:11Z,3810000,False,,,0,,J. Morant REBOUND (Off:1 Def:4),[1629630],1610612763.0,MEM,,,,,,,Above the Break 3,24+ Center,,,,Morant,J. Morant,381.0,,,,,,5.0,4.0,1.0,,,,,,,,
383,PT08M09.00S,2025-04-01T00:57:15.2Z,3,REGULAR,3pt,Jump Shot,[],1629630,66.44218134034165,39.705882352941174,1610612763,73,69,2025-04-01T00:57:19Z,3820000,False,-51.0,263.0,1,right,MISS J. Morant 26' 3PT,[1629630],1610612763.0,MEM,,,,,,,Above the Break 3,24+ Center,26.79,Missed,,Morant,J. Morant,,,,,,,,,,,,,,,,,
384,PT08M06.00S,2025-04-01T00:57:18.5Z,3,REGULAR,rebound,offensive,[],1642377,,,1610612763,73,69,2025-04-01T00:57:18Z,3830000,False,,,0,,J. Wells REBOUND (Off:2 Def:1),[1642377],1610612763.0,MEM,,,,,,,Above the Break 3,24+ Center,,,,Wells,J. Wells,383.0,,,,,,3.0,1.0,2.0,,,,,,,,
385,PT07M55.00S,2025-04-01T00:57:29.3Z,3,REGULAR,2pt,Jump Shot,"['pointsinthepaint', '2ndchance']",1628991,81.68528252299606,48.529411764705884,1610612763,73,69,2025-04-01T00:57:33Z,3840000,False,-7.0,120.0,1,right,MISS J. Jackson Jr. 11' driving floating Shot,[1628991],1610612763.0,MEM,driving floating,,,,,,In The Paint (Non-RA),8-16 Center,11.99,Missed,,Jackson Jr.,J. Jackson Jr.,,,,,,,,,,,,,,,,,
386,PT07M54.00S,2025-04-01T00:57:30.3Z,3,REGULAR,rebound,defensive,['team'],0,,,1610612738,73,69,2025-04-01T00:57:33Z,3850000,False,,,0,,TEAM defensive REBOUND,[],1610612738.0,BOS,,,,,,,In The Paint (Non-RA),8-16 Center,,,,,,385.0,,,,,,,,,,,,,,,,
388,PT07M42.00S,2025-04-01T00:57:49.0Z,3,REGULAR,3pt,Jump Shot,[],201143,18.873193166885677,90.44117647058823,1610612738,73,72,2025-04-01T00:57:52Z,3870000,False,-202.0,125.0,1,left,A. Horford 3PT  (16 PTS) (D. White 7 AST),"[201143, 1628401]",1610612738.0,BOS,,,,,,,Above the Break 3,24+ Left Center,23.77,Made,16.0,Horford,A. Horford,,,,,,,,,,D. White,1628401.0,7.0,,,,,
390,PT07M32.00S,2025-04-01T00:57:58.2Z,3,REGULAR,3pt,Jump Shot,[],1642377,86.94152431011827,94.11764705882352,1610612763,73,72,2025-04-01T00:58:03Z,3890000,False,221.0,70.0,1,right,MISS J. Wells 3PT,[1642377],1610612763.0,MEM,,,,,,,Right Corner 3,24+ Right,23.15,Missed,,Wells,J. Wells,,,,,,,,,,,,,,,,,
391,PT07M29.00S,2025-04-01T00:58:01.2Z,3,REGULAR,rebound,defensive,[],1628401,,,1610612738,73,72,2025-04-01T00:58:03Z,3900000,False,,,0,,D. White REBOUND (Off:1 Def:3),[1628401],1610612738.0,BOS,,,,,,,Right Corner 3,24+ Right,,,,White,D. White,390.0,,,,,,4.0,3.0,1.0,,,,,,,,
392,PT07M23.00S,2025-04-01T00:58:10.2Z,3,REGULAR,foul,personal,['2freethrow'],1641744,,,1610612738,73,72,2025-04-01T00:58:37Z,3910000,False,,,0,,Z. Edey shooting personal FOUL (4 PF) (Holiday 2 FT),"[1641744, 201950]",1610612763.0,MEM,shooting,,,,,,Restricted Area,0-8 Center,,,,Edey,Z. Edey,,200834.0,4.0,0.0,Holiday,201950.0,,,,,,,,,,,
394,PT07M23.00S,2025-04-01T00:58:38.0Z,3,REGULAR,freethrow,1 of 2,[],201950,,,1610612738,73,73,2025-04-01T00:58:38Z,3930000,False,,,0,,J. Holiday Free Throw 1 of 2 (9 PTS),[201950],1610612738.0,BOS,,,,,,,,,,Made,9.0,Holiday,J. Holiday,,,,,,,,,,,,,,,,,
395,PT07M23.00S,2025-04-01T00:58:38.7Z,3,REGULAR,substitution,out,[],1628991,,,1610612738,73,73,2025-04-01T00:58:47Z,3940000,False,,,0,,SUB out: J. Jackson Jr.,[1628991],1610612763.0,MEM,,,,,,,,,,,,Jackson Jr.,J. Jackson Jr.,,,,,,,,,,,,,,,,,
396,PT07M23.00S,2025-04-01T00:58:38.7Z,3,REGULAR,substitution,out,[],1641744,,,1610612738,73,73,2025-04-01T00:58:47Z,3950000,False,,,0,,SUB out: Z. Edey,[1641744],1610612763.0,MEM,,,,,,,,,,,,Edey,Z. Edey,,,,,,,,,,,,,,,,,
397,PT07M23.00S,2025-04-01T00:58:38.7Z,3,REGULAR,substitution,in,[],1630643,,,1610612738,73,73,2025-04-01T00:58:47Z,3960000,False,,,0,,SUB in: J. Huff,[1630643],1610612763.0,MEM,,,,,,,,,,,,Huff,J. Huff,,,,,,,,,,,,,,,,,
398,PT07M23.00S,2025-04-01T00:58:38.7Z,3,REGULAR,substitution,in,[],1630583,,,1610612738,73,73,2025-04-01T00:58:47Z,3970000,False,,,0,,SUB in: S. Aldama,[1630583],1610612763.0,MEM,,,,,,,,,,,,Aldama,S. Aldama,,,,,,,,,,,,,,,,,
399,PT07M23.00S,2025-04-01T00:58:58.1Z,3,REGULAR,freethrow,2 of 2,[],201950,,,1610612738,73,74,2025-04-01T00:58:58Z,3980000,False,,,0,,J. Holiday Free Throw 2 of 2 (10 PTS),[201950],1610612738.0,BOS,,,,,,,,,,Made,10.0,Holiday,J. Holiday,,,,,,,,,,,,,,,,,
400,PT07M13.00S,2025-04-01T00:59:09.2Z,3,REGULAR,3pt,Jump Shot,[],1630643,66.83639947437582,52.69607843137255,1610612763,73,74,2025-04-01T00:59:17Z,3990000,False,13.0,259.0,1,right,MISS J. Huff 25' 3PT,[1630643],1610612763.0,MEM,,,,,,,Above the Break 3,24+ Center,25.96,Missed,,Huff,J. Huff,,,,,,,,,,,,,,,,,
401,PT07M11.00S,2025-04-01T00:59:11.2Z,3,REGULAR,rebound,defensive,['team'],0,,,1610612738,73,74,2025-04-01T00:59:17Z,4000000,False,,,0,,TEAM defensive REBOUND,[],1610612738.0,BOS,,,,,,,Above the Break 3,24+ Center,,,,,,400.0,,,,,,,,,,,,,,,,
402,PT07M11.00S,2025-04-01T00:59:14.8Z,3,REGULAR,foul,personal,[],1630217,,,1610612738,73,74,2025-04-01T00:59:23Z,4010000,False,,,0,,D. Bane loose ball personal FOUL (4 PF),"[1630217, 1628401]",1610612763.0,MEM,loose ball,,,,,,Restricted Area,0-8 Center,,,,Bane,D. Bane,,200834.0,4.0,0.0,White,1628401.0,,,,,,,,,,,
404,PT06M53.00S,2025-04-01T00:59:52.0Z,3,REGULAR,2pt,Hook,['pointsinthepaint'],201143,11.777266754270697,49.754901960784316,1610612738,73,76,2025-04-01T00:59:55Z,4030000,False,1.0,58.0,1,left,A. Horford driving Hook (18 PTS) (D. White 8 AST),"[201143, 1628401]",1610612738.0,BOS,driving,,,,,,In The Paint (Non-RA),0-8 Center,5.82,Made,18.0,Horford,A. Horford,,,,,,,,,,D. White,1628401.0,8.0,,,,,
406,PT06M41.00S,2025-04-01T01:00:03.2Z,3,REGULAR,2pt,Layup,['pointsinthepaint'],1629630,92.06636005256242,46.07843137254902,1610612763,75,76,2025-04-01T01:00:08Z,4050000,False,-20.0,22.0,1,right,J. Morant reverse Layup (23 PTS) (S. Aldama 3 AST),"[1629630, 1630583]",1610612763.0,MEM,reverse,,,,,,Restricted Area,0-8 Center,2.95,Made,23.0,Morant,J. Morant,,,,,,,,,,S. Aldama,1630583.0,3.0,,,,,
408,PT06M31.00S,2025-04-01T01:00:13.8Z,3,REGULAR,2pt,DUNK,['pointsinthepaint'],204001,6.521024967148489,48.77450980392157,1610612738,75,78,2025-04-01T01:00:17Z,4070000,False,6.0,9.0,1,left,K. Porziņģis alley-oop DUNK (18 PTS) (J. Holiday 6 AST),"[204001, 201950]",1610612738.0,BOS,alley-oop,,,,,,Restricted Area,0-8 Center,1.07,Made,18.0,Porziņģis,K. Porziņģis,,,,,,,,,,J. Holiday,201950.0,6.0,,,,,
410,PT06M23.00S,2025-04-01T01:00:21.8Z,3,REGULAR,2pt,Layup,['pointsinthepaint'],1629630,91.67214191852825,55.14705882352941,1610612763,75,78,2025-04-01T01:00:25Z,4090000,False,26.0,26.0,1,right,MISS J. Morant driving Layup - blocked,"[1629630, 1628401]",1610612763.0,MEM,driving,,,,,,Restricted Area,0-8 Center,3.64,Missed,,Morant,J. Morant,,,,,,,,,,,,,,,,White,1628401.0
530,PT06M23.00S,2025-04-01T01:00:21.8Z,3,REGULAR,block,,[],1628401,,,1610612763,75,78,2025-04-01T01:25:00Z,4095000,False,,,0,,D. White BLOCK (1 BLK),[1628401],1610612738.0,BOS,,,,,,,Restricted Area,0-8 Center,,,,White,D. White,,,,,,,,,,,,,,,,,
411,PT06M20.00S,2025-04-01T01:00:24.8Z,3,REGULAR,rebound,defensive,[],201950,,,1610612738,75,78,2025-04-01T01:00:25Z,4100000,False,,,0,,J. Holiday REBOUND (Off:1 Def:4),[201950],1610612738.0,BOS,,,,,,,Restricted Area,0-8 Center,,,,Holiday,J. Holiday,410.0,,,,,,5.0,4.0,1.0,,,,,,,,
412,PT06M10.00S,2025-04-01T01:00:34.8Z,3,REGULAR,2pt,Layup,['pointsinthepaint'],1628369,5.863994743758213,44.11764705882353,1610612738,75,80,2025-04-01T01:00:38Z,4110000,False,29.0,3.0,1,left,J. Tatum cutting Layup (19 PTS) (D. White 9 AST),"[1628369, 1628401]",1610612738.0,BOS,cutting,,,,,,Restricted Area,0-8 Center,2.95,Made,19.0,Tatum,J. Tatum,,,,,,,,,,D. White,1628401.0,9.0,,,,,
414,PT06M08.00S,2025-04-01T01:00:41.6Z,3,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612763,75,80,2025-04-01T01:00:41Z,4130000,False,,,0,,MEM Timeout,[],1610612763.0,MEM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
415,PT06M08.00S,2025-04-01T01:03:42.3Z,3,REGULAR,substitution,out,[],1629630,,,1610612763,75,80,2025-04-01T01:04:08Z,4140000,False,,,0,,SUB out: J. Morant,[1629630],1610612763.0,MEM,,,,,,,,,,,,Morant,J. Morant,,,,,,,,,,,,,,,,,
416,PT06M08.00S,2025-04-01T01:03:42.3Z,3,REGULAR,substitution,out,[],1630217,,,1610612763,75,80,2025-04-01T01:04:08Z,4150000,False,,,0,,SUB out: D. Bane,[1630217],1610612763.0,MEM,,,,,,,,,,,,Bane,D. Bane,,,,,,,,,,,,,,,,,
417,PT06M08.00S,2025-04-01T01:03:42.3Z,3,REGULAR,substitution,out,[],1630643,,,1610612763,75,80,2025-04-01T01:04:08Z,4160000,False,,,0,,SUB out: J. Huff,[1630643],1610612763.0,MEM,,,,,,,,,,,,Huff,J. Huff,,,,,,,,,,,,,,,,,
418,PT06M08.00S,2025-04-01T01:03:42.3Z,3,REGULAR,substitution,out,[],204001,,,1610612763,75,80,2025-04-01T01:04:08Z,4170000,False,,,0,,SUB out: K. Porziņģis,[204001],1610612738.0,BOS,,,,,,,,,,,,Porziņģis,K. Porziņģis,,,,,,,,,,,,,,,,,
419,PT06M08.00S,2025-04-01T01:03:42.3Z,3,REGULAR,substitution,out,[],1628401,,,1610612763,75,80,2025-04-01T01:04:08Z,4180000,False,,,0,,SUB out: D. White,[1628401],1610612738.0,BOS,,,,,,,,,,,,White,D. White,,,,,,,,,,,,,,,,,
420,PT06M08.00S,2025-04-01T01:03:42.3Z,3,REGULAR,substitution,in,[],1628379,,,1610612763,75,80,2025-04-01T01:04:08Z,4190000,False,,,0,,SUB in: L. Kennard,[1628379],1610612763.0,MEM,,,,,,,,,,,,Kennard,L. Kennard,,,,,,,,,,,,,,,,,
421,PT06M08.00S,2025-04-01T01:03:42.3Z,3,REGULAR,substitution,in,[],1628991,,,1610612763,75,80,2025-04-01T01:04:08Z,4200000,False,,,0,,SUB in: J. Jackson Jr.,[1628991],1610612763.0,MEM,,,,,,,,,,,,Jackson Jr.,J. Jackson Jr.,,,,,,,,,,,,,,,,,
